text,emotion
hwa min da ya gma3a w bytklm leh asasan,angry
hwa el wahed msh maktoblo yefrah fel balad dih wla eih,angry
bgd 3omro m ynfa3 yb2a ahsan la3ib fel 3alam,angry
fiha ekte2ab shahren dih,angry
e2fel el match el momel dah,angry
leh ya montakhab bt3ml fina kda,angry
heya el donia ba2eit ka2iba keda leih,angry
hwa eih el byhsal fel mal3ab dah,angry
defa3 ye3asab el wahed,angry
batal walahi aktar la3ib bahebo,happiness
bydrabo fe kalb mayyet,angry
msh fahm de harb october de wla eh,angry
eh elly hwa beyshraho dah,neutral
kda zolm walahi,angry
da byskhan lma el kora tb2a maana fe nos el mal3ab,angry
fer2a tehra2 dam el wahed,angry
el match baz mnena bgd,angry
mafesh modaf3en ya gd3an,angry
marmoush asasy,neutral
eh el tawator da habki,angry
dana masr habebty,happiness
oly enak bethazar,angry
da shakli dlwa2ty,neutral
eh el drama el ente 3amlaha dih,angry
el bent de bashe3a,angry
el doctor aleik eih,neutral
ta3ala ma3aya agebhom,neutral
msh 3arf a3esh brahti,angry
ana walhy habatal akalemhom,angry
shayefny wana a3ed azakr lel midterms,neutral
el sha3b kolo 3asabi,angry
shayfenek kda mn barrake,neutral
ouli l tante,neutral
hatetla3 emta,neutral
momkn mankamelsh ba2e hayatna,angry
marmoush sayye2 bgd,angry
el fetar wagbeti el mofadala,happiness
asdek eh bzabt,neutral
shaghallo yabny film el 3alamy,neutral
had zah2an zayi,sadness
a3mel eih fel malal dah,sadness
kol da lehe2 yedo2o,neutral
baheb film harem karim,happiness
absha3 anwa3 el nas el momkn tet3aml m3ahom,angry
ha2olak eh ana wla eh,neutral
yaany eh yareit tefahemni,angry
msh zay el habal bta3 el yomen dol,angry
eh el el7ad da,neutral
el ka2en da momel awi,sadness
mestani angez,sadness
ghaleban el 3elaka btentehy ba3d el so2al da,angry
hwa ehna hanetfar eih,neutral
amshi ezay,neutral
3ayez nemshi mnen,neutral
el naksh da haga gamela mabtetla3sh gher lel habayeb,happiness
gatek el araf fe halawtek,happiness
ente betsayahi leh kda tyb,angry
taale eshtaghale maaya oltlk,neutral
wadini henak,neutral
makani el mofadal,happiness
hwa ana hathayel 3alek enak tigi,angry
el gaw talg,neutral
eih el kheta,neutral
ana ghaltan ene sebt el mozakra w a3adt atfarrag,angry
nam ya tarek tyb,neutral
roht enta shayel el esm,neutral
hat3melena 3asir eih,neutral
lala msh ader adkhol fe neqash,angry
soto helw gidan bgd,happiness
hat2akelni eih,neutral
baheb el lon el eswed,happiness
el wahed byb2a rayeh el gam3a met3asab,angry
a2abelhom f anhy makan,neutral
kolo rah w zehe2,sadness
mashallah 3al gamal,happiness
lesa etba2a emthan kaman,sadness
ana 3ayz afkes kol el araf el ana feh,sadness
eih el bagaha dih,angry
leh nemra ghareba tekalmny el sa3a 4 el fagr,angry
sabah el malal ya3am,sadness
w beleil ha3mel eih,neutral
ana bakrah el madrasa,angry
el gam3a de hwartha ktret,angry
bey2oulo magatsh,neutral
maloo ahmed,sadness
msh far2a kter wallahi,neutral
la da habebna dah,happiness
3ayzne anzel el bahr,neutral
hwa 2al eih embareh,neutral
min ma3zoum,neutral
yarab sabbarny,angry
bafkar gedyan awa2af,neutral
el sahayan badre kol yom da haga gher ensaneya,angry
ha2oum ar2os,happiness
mosalsal hekayet hayah da tohfa,happiness
ayez had yesalini,sadness
eh da eh el hwar dah ya3,angry
ehde shwya sada3t bgd,angry
ta2reban da bta3 semsemya,neutral
msh 3arf ana la2etha fag2a,neutral
ana wa2ef odam ahla wahda shoftaha fi hayati,happiness
ayzin nefarfesh w nesafer,happiness
ya3am fokak mny ba2a,angry
el koleya de ta3bani,angry
ana 3ayz atfarrag 3aleih mn el awel,neutral
akhoia elly fahemni,happiness
akhoia elly beyebsetni,happiness
haysafer ma3 min,neutral
ana msh 3arf atfahem ma3aya,angry
fe wahda menarfezani,angry
hateshteri eih,neutral
hatgib min ma3ak,neutral
msh faker emta akher marra nemt feha aktur mn 6 sa3at,angry
zah2an zayi,sadness
hwa mabada2sh bel nesbalna asasan,neutral
anani awi bgd,angry
ya3am matkarrahnash fel 3eisha ba2a,angry
dana el 3ayz asharek m3ahom,neutral
ana t3bt mn el ta3amol ma3 bashar,angry
ostaz ahmed hayigi enaharda,neutral
bahawel afteker olt eih,neutral
el hayah kolha zaha2,sadness
kalemtek yabenti,neutral
hat3zemhom emta,neutral
bedayet el mashakel,angry
harfyan yom momel,sadness
hasawat men el zaha2,sadness
haneshteri lebs emta,neutral
w ba3den baa fel ta3banen nafseyan,angry
ya tara ehna fe team eih,neutral
yaany eh a2olak 3amel eh matrodesh,angry
lesa el sa3a magatsh 12 ehdi,angry
la ma3lsh ana mawafe2tsh ala haga,angry
sayyahly yabny el gebna de kolha,neutral
el lahga el maghreby de teganen,happiness
ageblek leb,neutral
el esbo3 kolo ba2a yezaha2,sadness
yalahwy 3al araf el ana feh,sadness
hwa beyheb anhy,neutral
hatlob menak talab,neutral
tb wel shabab elly msh fel gouna,neutral
kan helm hayate asafer hnak,neutral
ba3ayat men kotr el dehk,happiness
bey3asabo el wahed,angry
matkhalinish at3asab 3aleik,angry
ya3am ana msh meday2 hwa weshy kda fel gam3a,neutral
kafaya zolm w eftera,angry
harouh ashrab,neutral
hya eh fekret en yetsawar keda,neutral
sa7lab,neutral
kfaya soda3,angry
farhetek heya farhetna,happiness
el hob medafena,happiness
laa ashan brahtek eh s3bte alaya de,neutral
el mafrud da,neutral
ana 3ayz ageb temsa7,neutral
gamila gidan,happiness
ahahahha ensa,neutral
baheb el otat,happiness
la hwa bybe3 pizza bs asasan,neutral
hwa yaany eh atlob pizza mn mahal y2ole el pizza khelset,angry
loni el mofadal,happiness
da category eh,neutral
mateshrabsh sagayer fel asanser,angry
bel nesba lel ente lesa ba3tah,neutral
w kol marra btb2a keda,neutral
hatli el ezaza dih,neutral
salma abu deif amar,happiness
bykhale el wahed sahe met3asab,angry
ya3ny eh el kalam dah,neutral
msh fahm byhawlo ye3melo eih,angry
ehna lesa hanlama7 le baad,neutral
efkesy diet ehna han3esh kam marra,neutral
mahaslsh,neutral
3ande fodol a3raf,neutral
3ayz atgawez el momasela dih,happiness
korba laziza,happiness
mana ba2ol,neutral
hya de ba2a fatret el estehbal,neutral
ah ana gali mn el etmasahet,neutral
ana maly ana,angry
newadeky alex ya salam,neutral
hya lesa hateskhan,neutral
fel goal deh,neutral
hwa kolo 3ayz forsa tania,neutral
ala hasab el neyya,neutral
shaklaha rahet mn gherek,neutral
la de moshkelto hwa baa el khasran,angry
emsahe de kaman,neutral
eh el goal da,angry
ashan maza3losh tani,angry
bezabt zay m olteli,neutral
shoft wahed amar embarh,happiness
dawarly yabny baa ala kol el esmohom nour,neutral
omal eh yabny enta mesta2el bih wla eh,angry
gai wla la ya3am enta,neutral
eh hekayt el gawaz maake,neutral
3ayz aroh cairoma,neutral
hahahahah ahla zekrayat,happiness
eddelo,neutral
mafesh wa2t yalla netgawz,happiness
fe sot namosa moz3eg,angry
fer2eti kesebt,happiness
lma ala2ih beye3tezerli,happiness
efkesy efkesy hayhsal eh ya3ni,neutral
3alama enek tefkesy gam3a,neutral
motahamesa hamas,happiness
ehna matklmnash gher marra asasan,neutral
yekhrbet halawtek w da wa2to,happiness
nefse fe reyash w hamam,neutral
ana metmarmat ah bs mabsot,happiness
eh shoghl el kalabeb da yabenty,angry
agmal wahda mn gher maghod,happiness
la tab3unn,neutral
etfarage 3al replies el hatgelek,neutral
khaleke ente taht el bataneya,neutral
ehna neshefna f3lan,neutral
la w ebtada yeghlat kaman,angry
wa2t el embesat,happiness
ferehtelek awi,happiness
w eh el gomla el ente katbaha de,neutral
kfaya kedb,angry
hwa kan byfakar fe eh bgd w hwa by3ml el mashhad da,angry
kfaya kalam 3al nas,angry
hahahaha oltelko,happiness
ente leltek soda estanne bs,angry
omal le3ba ya fatima,neutral
yalahwy 3al zeta,angry
mafish haga esmaha keda,neutral
hwa eh da ya rogola,neutral
esma3o kalami ba2a,neutral
habebna ya rayyes walhy,happiness
w ba3den ba2a fel dehk dah,happiness
ba3d eznek,neutral
kfaya z3i2 ba2a,angry
netfarag 3al lebs,neutral
ayez ahager,neutral
de msh dakhlet police,neutral
bafakar f haga,neutral
had ando fekra gdida,neutral
hat ya3am sandwich kaman,neutral
yalla benaa halan,neutral
nadafo el haga warako,neutral
lma a2ol nbatal hanbatal,neutral
mertah nafseyan,happiness
kfaya nam,angry
ya3am allah yerda 3annak sebni,angry
tb wel 5 kilo kofta eh el nezam,neutral
harfyan aham wahda,happiness
omi masali el a3la,happiness
3ashan tertah ba3dein,neutral
deh maddet eh deh,neutral
lw el coursework bta3ek helw,neutral
fetert w etghadeit,neutral
3ayz adrab feteer bel 3asal wel eshta,neutral
hwa 3amal eh,neutral
hwa fe event fel ahramat el yomen dol,neutral
lma teb2a lesa sahy wel nas bal3a radio 3al sobh,angry
msh ader 3al malal dah,sadness
hageb essam sasa fe farahy,happiness
yemken hayghannelek wla haga,neutral
hya weslet le kda,neutral
bgd el maradi,neutral
hahahahah hamout,happiness
wel donia mashya 3aksy laffet w mshet m3aha,neutral
ha2olo yigi ma3ana,neutral
eih el genan dah,angry
ya gada3 mat2olsh kda,neutral
ebtadena tany,neutral
lessaa badri gidan,neutral
3andek eh bokra,neutral
3eyounak elly helwa,happiness
shehadet el zor haga w tazweer wara2 haga tanya khales,neutral
3omri m embasat keda f eidmiladi,happiness
khadtohom,neutral
takhayl tekhaf men el hagm dah,neutral
2ol ya fannan,neutral
abda2 mnen wala mnen,neutral
akhbar ktir,neutral
msh ader amsek nafsi men el dehk,happiness
tanmeya bashareya,neutral
hya el 9 deh harf eh,neutral
eh 3elaket el nozol bel vaccine,neutral
msh gai taba3 haga,neutral
hwa men 2al en hwa gai masr,neutral
el 3omr mogarad rakam bensbaly,neutral
fekra hayla habetha,happiness
mana olt keda men el awel,neutral
warake talween wla eh,neutral
hya eh el logha el maktob beha deh asasan,neutral
ba3sha2 film el 3alamy,happiness
bokra el ayam tesbetlak,neutral
danta gharib awi walhy,angry
eh el ka2en el gharib dah,neutral
gedeiti a3zam ensana,happiness
el video dah bemawetni men el dehk,happiness
sada2teni ba2a,neutral
bos edkhol kda ala el starred messages w hatmot mn el dehk,happiness
mehtag flous ktir,neutral
ezay takhod ha2ak mn doctor gam3a,angry
f3lan el flos msh kol haga,neutral
helm hayate adkhol el emthan b calculator,neutral
hahhahaha ana mwafe2 3al kalam el helw dah,happiness
hwa sanya enta fateh ezay dlwa2ty,neutral
el ensan mehtag safareya le siwa,neutral
dah shaklo match momel,sadness
oly min msh f handasa,neutral
karawan,neutral
enta el shik bta3ak fih kam ba2a bel sala 3al naby,neutral
ya3am w 3ahd allah rayeh bs shwaya,angry
hwa ana mehtag rokhsa wla eih,neutral
enta rayeh fen el nahrda,neutral
laa bleel msh dlwaty,neutral
min elly gayin ma3ana,neutral
sobhan m ghayar el ahwal,neutral
byor2os ma3 sohabo,happiness
wa2fin mestanyino,neutral
dah sabah el fol walhy,happiness
2ali nerouh el safareya nembeset shwaya,happiness
hwa kolo khareg yeshtem fiha kda leh,angry
zah2an zaha2 gharib,sadness
msh fahem 3ayzin yewsalo l eih,neutral
yalla nakol burger,neutral
dah yomi el mofadal,happiness
hahahhaah ahla ayam tofolti,happiness
kont baheb al3ab el le3ba dih awi,happiness
harfyan ahla khorouga kharagnaha,happiness
baheb el safar awi,happiness
ya sheikh,neutral
momken nerouh el nadi 3amatan,neutral
bazha2 lama ba3od ktir fel beit,sadness
rabena yetawel f omrek w yekhaliki lina,happiness
bakrah el raghy bgd,angry
ba3d ezn el mohn bs 3ayz asma3 el lecture,angry
el shanta gambek,neutral
hwa mafesh fostan asasan,neutral
kfaya drama ba2a allah yekhaleki,angry
ekhtaf wegry,neutral
el maby3rfsh ywsal le haga bytarya2 3aleha,neutral
habibi etsawarly fel gym hamot w ashofak btetmaran,happiness
el aghani sotha 3ali awi msh aref anam,angry
dah emta el karar dah,neutral
lesa marge3sh rah salla,neutral
gaylek halan estanini,neutral
bakrah el ensan el zannan,angry
w malo,neutral
ya sheikha,neutral
eshm3na faweit dah,neutral
byfakarni bik,neutral
dakhla film eih,neutral
tab3an hagi bokra inshallah,neutral
w ba3den khaliki fel cinema date bta3ek lw samahti,neutral
el msh hayakhod el vaccine msh haydkhol el gam3a,neutral
safarouni bgd zehe2t men el a3da fel beit,sadness
msh hatla2e zaye ya sheikha allah yehra2ek ente wel zayek,angry
eshta ya me3alem,neutral
ya gada3 2ol msh bakol eh,neutral
betehsal,neutral
el etneen mashy,neutral
khalas ha3adi 3alek ha2om albes aho,neutral
w tab3an aktar 3asir bahebo,happiness
3ayzen nekhalas el match,neutral
lma tetesel bik rod,neutral
lhad dlwaty msh mestaw3eb el talab,angry
kol dah ashan 3amalna mo3ahdet salam ya3ni,angry
ana rayeh,neutral
eih el halawa dih tohfa,happiness
hahahahha eh ra2iek ba2a,happiness
walahi lw el deen 2al eno haram fa efham en ra2iak msh mohem,angry
la msh el fe dmaghak,neutral
mayedelosh el ha2 eno yermy kalam kda zay manti bt2oli,angry
fady adra haga zay dih malnash da3wa ehna,neutral
matehmad ba2a yabni enta,angry
min beyetkalem ma3aya,neutral
yalhwy 3al araf el ehna fih,angry
el wahed zehe2 men el 3isha,sadness
el da3awat estagabet,happiness
hatmasha 3al nile w hatla3 anam,neutral
roho sallo el fagr,neutral
ana kreht el shoghlana dih,angry
akhoki agnabi wala eh,neutral
la el tweet deh liha hya bs msh ento,neutral
ana 3ayz afham homa leih moserin y3asabo el wahed,angry
hahahha ahla nokta seme3taha,happiness
ahla haga lama tedkhol el beit w tla2i aklak el mofadal,happiness
share3 el tes3en fadi,neutral
eih el enta rayeh takhdo dah,neutral
feh raha nafseya dakhalt ala el wahed lma batal yeftah instagram,happiness
aktar mosalsal bahebo 3azim,happiness
akher marra aroh ma3 tefl byakhod ho2na haga tehra2 el dam,angry
shaklha hatb2a haga mosaleya,happiness
leh mayes2alosh el ensan abl yetweled hwa 3ayz yetweled wla la,neutral
ah hasbya allah,angry
estanne ente alaya bs,neutral
sababek aslun,neutral
ente teskote khales,angry
la msh hathammel mas2oleyet,neutral
hya men ana ma3rfsh,neutral
tehebeny mathebenesh de haga terga3lek,neutral
elhamdulah et3afeet mn el mood swings w ba2et mood 24 sa3a,happiness
ana msh 3arf walhy ento ezay btwaf2o tsebo el ashkal de fe hayatkom,angry
ebn khalte byakol roz laban w dala2 aleh molokheya w mostamte3,neutral
matkhallasne fe yomak da,angry
wegz makansh asdo yb2a deep lel daragde lma alha,neutral
clip helw oghneya saye2a,neutral
yaretak nazzelt el oghneya,neutral
w layla,neutral
ehna shabab fadya bnheb el hals,neutral
esmo eh,neutral
opa,neutral
khalsana hage taster,neutral
3ayz aroh afghanstan,neutral
eftah restaurant,neutral
akeltohom eh,neutral
masabosh baad aho,neutral
baheb support el nas el ma3rfhash,happiness
msh 3arf afrahlo wla az3al eno hayemshy,neutral
ashab ana wenta wla,neutral
ana bahesso byzellena ashan yenazl aghane,angry
sahby mafesh bashar gherna,neutral
khalas yasta kfaya,neutral
elhamdulah 3rft men el fe sohabe l bytala3 kalam barra,happiness
shawa2na aktur shawa2na,happiness
hwa fe eh 3al sobh,angry
hahahahah gamed,happiness
w 3yon msh mehtaga tesherly,neutral
3ayz aftah mahal shawerma,neutral
tafaham tyb,angry
3omr m had 3asabni keda bgd,angry
habebty ya zeino,happiness
hwa ghaleban ente msh fahma el tweet,neutral
ehna gayen el hayah net3allem,neutral
el wahd baa raye2 kda mn gher hewarat kter,happiness
sabah el tafa2ol walhy,happiness
ehky le hany,neutral
3ayz a3mel haga fel malal dah,sadness
m el gambo da kan yesa3do yaany dah eih dah,angry
mahe msh haga tabe3ya afdal ga3an baad kol el akl da,angry
ma3lsh taale ala nafsek,neutral
el admin masry wla eh,neutral
f kemet sa3adti enaharda,happiness
hatakhde agaza mafesh derasa,neutral
la mafesh homa dol bs,neutral
yalla baheb awi arouh henak,happiness
haga teksef walhy ad eh el 3alam kolo motakadem,angry
ehna weselna lel marhala de khalas,neutral
msh 3arfa at3amel met3asaba haleyan,angry
ba3sha2 el oghneya de,happiness
ashan kda ur followers aktur mn ur following,neutral
rohe el gam3a,neutral
namee ya masa,neutral
mahadesh 3ando fekra tesalini,sadness
ana mota2akeda eni bahebaho,happiness
oksem belah m3anadish aghla meno,happiness
harfyan begad,neutral
kefaya el tary2a bet3asabni,angry
baheb el manzar dah awi,happiness
heya kol el nas zah2ana zayi wala ana bas,sadness
3eib ba2a,neutral
el banat btheb el doghry,happiness
beykhalini as3ad wahda,happiness
eh el flashbacks  de,neutral
ba3sha2 film la tarago3 wla esteslam,happiness
rabena 3alem b ma3azetek andi,happiness
de fel gouna sah,neutral
haflet men,neutral
kitkat el bel cinnabon de el mofadala beta3ti,happiness
haga tefreh msfish ahla men keda walhy,happiness
3andy gam3a bokra,neutral
manzar yedaye2 w y3asab el wahed 3al sobh,angry
hatir men el farha ya gama3a,happiness
ahla khabar semet3o f hayaty,happiness
eh ya gma3a fe ehh,angry
kol wahd 3ayz friend mo3ayan,neutral
ala hasab rayeh fen,neutral
el battery health de bada2et tenarfezny,angry
takhayl lw kol wahd khallah fe halo,angry
bahdar concerts,happiness
3ayzenha live ya fannan,happiness
hasal,neutral
ana ala akhry mode,angry
yadi habalak,angry
ahla makarona bashamel fetert beha,happiness
da eh dah,neutral
baghani men elsobh,happiness
aked mn sohabek,neutral
leh yaany enta mosamem t3asabni,angry
mnek,neutral
mabroook,happiness
tb lw msh haga fe dol,neutral
akher hetta bamout dehk menha,happiness
ana bahtafel b engazati,happiness
efkesy w rohe kole shawerma,neutral
ana msh metabe3 walhy fa msh 3arf,neutral
3ayez had yefarfesh maaya,happiness
lebesti eih enaharda,neutral
wa2t monaseb gdan lel embesat,happiness
ahla haga fel yom en kol mahalat el akl wel chocolates 3amla offers,happiness
ana wente zah2anin keda leih,sadness
barkouli afelt el emtahan,happiness
dih ahla nemra gebtaha f hayaty,happiness
baheb el ward awi,happiness
hya mabada2etsh ashan tentehy,neutral
haygili el daght b sababak,angry
ha2oum azaker,neutral
habeby ya 3ashe2,happiness
baheb awi el a3da dih,happiness
es2ale el fanan amr diab,neutral
baheb atfarag 3aleih ahla film,happiness
hatesel bik,neutral
hazi helw awi enaharda elhamdullah,happiness
ya akhy kfaya talabat mat3asabnish,angry
zah2an w msh 3aref a3mel eih,sadness
mana kan asde kda,neutral
khalleena nenbeset,happiness
haflet amr diab kant tohfaa ghanna aghane adema bss,happiness
la de oghneya,neutral
3ayz atgawz wahda maghrebeyya,neutral
bokra hanahtafel w nembeset,happiness
moserin enohom y3asabouni walahi,angry
msh hatkoun zah2an aktar meni,sadness
sahya mazagi helw,happiness
edkhole yabenty,neutral
kol haga m3asabani enaharda eih elyom dah,angry
hanrou? wala la,neutral
belzabt kda,neutral
gededa de dahakteni,happiness
yallaa badal el malal dah,sadness
ghayart ra2ie,neutral
hakol akleti el mofdala,happiness
kinder bueno bamout fiha,happiness
sebha el oghneya dih betebsetni,happiness
hathom w ta3ala,neutral
zahma w har w haga bashe3a yaany,angry
el gaw baa har msh taye2 nafsi,angry
akenohom asdin yenafezoni,angry
hahaha ebsetni kaman w kaman,happiness
marwan hamdy da gai yeshelena el nahrda,angry
aywa ana msh arfa anam men el tahamos,happiness
hwa kan wa3dek haga wla eh,neutral
ana msh fahm fe eh ha3mlohom hafla ahsan,angry
ba3sha2 rehet el croissant w hwa lesa tale3 mn el forn,happiness
men el hayeksab bokra,neutral
ba3sha2 mosalsal taht el saytara,happiness
bs baa ashan mankhabbatsh fe,angry
ana msh mo3gab beky laa ana bahebek,happiness
omal ente esmek eh,neutral
el bahga bayna 3ala weshi,happiness
omi a3zam enasana,happiness
bt2olelo habibi leh ana et3asabt,angry
3ayz a3raf bs el hakam kan 3ayz yehseb eh,neutral
allah akbur,happiness
albi beyor2os,happiness
msh ma32ol kol match atla3 ashtem el hakam,angry
de harb october de wla eh,neutral
yarab eb3d el malal dah 3ani,sadness
hahahaha alf hamd w shokr,happiness
ba3sha2 film el ghawas,happiness
nefse fe renga ghar2ana fe tehena,neutral
law 3andak bent hatsmeha eh nazly aw layla,neutral
elhamdulah el shahr kheles,happiness
ana bahes ene bashof nafs el strangers fe kol concert aro7ha,neutral
hahahha beye2telne dehk,happiness
ente msh nawya tzakre,neutral
hage bs msh dlwaty,neutral
ana hases ene kol yom bashof el tweet de,neutral
allaah akbur 3al akhbar elhelwa,happiness
ana hases ene hamot men zah2,sadness
talba maaya ibn el sham,neutral
ala allah tetla3 msh fadya yom 14,angry
salamo alekom ezhar ya mekhtefy,neutral
foke w ta3ale farfeshi maaya,happiness
wadeh en el french lesa m2asar aleky,neutral
yalahwy sara hna kaman,neutral
hahaha shoft beydahak ezay,happiness
w sara 3arfa el mawdo3 da,neutral
ebn sina ma3rofa,neutral
3ayyel moz3eg walhy,angry
fe 3eesh balady,neutral
msh kda ya gd3an walhy,angry
unfollow eh dol lazm yetderbo bel nar,angry
yasater yarab 3al malal,sadness
wana walhy zah2an awe,sadness
mafesh sheela khafefa bs fe nas mabteshtkesh,neutral
leh ente warake eh,neutral
yakhrbet eldehk msh ader,happiness
kol fatra fe hayatak leha sohabha,neutral
msh tabe3eya 3asabtne,angry
ehna warana eh lesa el emthan el sobh yaany,neutral
yahdos al2an,neutral
yallaa ana batlakek ashan mazakersh asasan,neutral
ente nada wla men bezabt,neutral
men hayigi ma3ana,neutral
mat3asabtsh keda f hayati abl keda,angry
yanhar azra2 3al zaha2,sadness
ana wel regala fe tare2na lel gouna,happiness
ya3ny eh emthan 200 so2al hwa fe eh ya3ny msh fahm,angry
hahahahahha da enta funny awee,happiness
wa2t el hagz kheles,neutral
yalahwi ala el dehk,happiness
ya3am msh 3ayz atbarra3 sebni f hali,angry
ya 3am khalas erefna,angry
da tela3 hwar ma3rof,neutral
3ayz a3ml hafla,happiness
men el awel keda,neutral
et2agelet ahla khabar seme3to,happiness
fe ayam el mawad nb2a nzakr sa3etha,neutral
nefse afham walhy kan fe eh fe dmagho w hwa by3ml el video da,angry
eshta eshta ma 3aleina,neutral
ba2olek eih hanot men elzaha2,sadness
leih keda ya sahbi,neutral
la tab3un msh keda,neutral
leh tefl 3ando talat senen y2ole 2om e3mle ne3na3 sokhn,angry
msh 3ayzen genan baa,angry
leih keda 3ayez y3asabni w khalas,angry
ana msh 3arf atfahem ma3aya haga t3asab,angry
la ana 3ayz ashof ba2et el conversation meshyet ezay,neutral
ayez akol kfc,neutral
fe mac n cheese hatmassek bel hayah tany,happiness
aywa baheb ana el 3elakat el mostahela de,happiness
amatan fakes,neutral
da series wla eh bezabtt,neutral
men dol,neutral
ehna lesa fe 2021 3amatan,neutral
ba3sha2 nour fe film short w fanela w cap,happiness
yarab afdal mabsout keda,happiness
wala akeni shayef haga,neutral
mat3asabinish da ala asas enek sahya mn 6,angry
baheb shoghlo gidan,happiness
hatetla3 shabah men,neutral
had ayez yigi yesalini,sadness
hasa eni as3ad wahda fel donia,happiness
3ayz akol hamam w tarb,neutral
ya3am kefaya,angry
nezelt shwaya badal mana zah2an keda,sadness
min metabe3 el mosalsal dah,neutral
el nahrda fel zamalek,neutral
as3ad lahazat hayaty wana batkharag,happiness
hwa eih dah esbate ala haga baa,angry
hahahha betdahanki awi,happiness
ayza asma3 aghani w a3ish fi el dor,neutral
eshtareit el 3arabeya elhamdolelah yarab,happiness
la2 maho el sabr lih hodoud,angry
bas bas khalik fi nafsak,angry
