,Tweet,Sentiment
60,kol wahed mehasesny eno mzaker,negative
61,bahes el 3ayshen fe dubai kolhom nafs el shakl,neutral
62,hwa enta leh hatet el atayef fel forn,neutral
63,yalahwy 3al araf el ana fih,angry
64,shayfne wehesh eb3ed 3ani mate2rfnish,angry
65,ba2ale esbo3en ba3id nafs el yom,bored
66,aywa ya fanan eih el 3azama dih,positive
67,omal eh yabenty,neutral
68,3amlen fetar eh,neutral
69,estahda bellah ya habibi,negative
70,el shoghl el oltlk aleh hayebda2 emta,neutral
71,ana walhy lw naffezt el afkar el fi dmaghy ha3adi,positive
72,asib el ta3lem tyb wla a3ml eh dlwa2ty,negative
73,ahh ay had dakhal w 3ada,neutral
74,ya khabar hwa ana atol,love
75,ya tara eh ehsas el nas el ekhteyarathom sah,negative
76,el mafroud kol mashaklek tethal,positive
77,wana wla rady wla mertah el bal,negative
78,walhy aham hagten el reda w rahet el bal,positive
79,fi derasa 3amaltaha embarh to2akked en ana wenti lazm netgawez,love
80,ya3ni eih mafish haga,angry
81,3ayez aroh taghmeesa,neutral
82,a2olohom wala la2,neutral
83,omal a2ola eih bzabt msh 3aref,neutral
84,ana msh fahm fi eih,neutral
85,heya el balad btwala3 wla eih,negative
86,ana batwatar lma akon saye2 wel donia zahma,negative
87,shayfek odami aho,neutral
88,ktir awe bafkar ana leh madakhaltesh haga tania,negative
89,nefse afham eh lazmet el zebib,negative
90,ba3sha2 esm layla,love
91,harfyan hwa dah elly kont 3ayzo,happy
92,wehna hanebda2 emta,neutral
93,3ande fodol a3raf raddek,neutral
94,hasby allah w n3ma el wakel fi elly f 2eedo,negative
95,alby maaky walhy,love
96,ma3lsh,negative
97,shaklek ray2a dlwaty,positive
98,abl el fetar sa3a w nerouh,neutral
99,hasal bzabt zay manta olt,neutral
100,takhayal law yasser galal mat fe akher el mosalsal,neutral
101,inshallah ramadan el gai harwah betna wana gayeblha sobya,love
102,kobayet el ahwa el baad el fetar mazag,positive
103,hwa bgd ehna gayben vandam ashan y3ml ma2lab,negative
104,balash ta2led ba2a,angry
105,sawany bs nefham eh dah,negative
106,mafesh wehesh  fel hayah ad el nas el by2arabo mazaghom,negative
107,eih el tafaha dih,negative
108,el gam3a 3ayzana nesallem nafsena el sabt el gai,negative
109,warini el konafa dih ba2a mahsheya eh kda,neutral
110,hwa kan matroud wala eih,neutral
111,bensali nafsena abl el fetar,positive
112,harfeyan ah,positive
113,tayartakk mnawara fel ekhteyar ya3am,positive
114,dehk mot,happy
115,hwa ta2reban kda yasser galal ya haytkaram ya haythebes,neutral
116,mehtag atkharrag mn el gam3a el khamis el gai bel kterr,negative
117,el koleya helwa fi ramadan,positive
118,hahahahahahah,happy
119,e3lan vodafone tohfa,positive
120,ente 3andek emthan bokra wla eh,neutral
121,mana msh haytrakem alaya mosalsalat mn awel yom ya3ni,negative
122,el oghneya helwa haram aleki,love
123,malhom msh fahem,negative
124,tab ehna mehtagin netla3 tal3a ala share3 el mo3ez,positive
125,lma ykon feh kobayat plastic mahtota fe baad bat3asab,angry
126,kol sanaa wenta tayb w b kheir ya habibi,love
127,hwa ana tayeh leh,negative
128,da mosalsal eh elly shaghal dah,neutral
129,maktob makarona bel bachamel enti kadaba,negative
130,balash tal2ih,negative
131,3ayza eh dlwa2ty,negative
132,sot ramez lwahdo da by3asab walahi,angry
133,msh ader a2om mn ala el sofra,negative
134,ente baad el khena2at el bt3mleha dih msh hayhsal kwais,angry
135,da ehna tele3na welad 3am ba2a,positive
136,atmanna el sana el gaya aftar ma3 sohabi,positive
137,aywa hasal 3rfti ezay elhagat dih,neutral
138,w malnash 3elaka bel khena2at khales,positive
139,wadeh en el nas kolaha 3ala safar ta2riban,positive
140,allah yekhaliki lina w yehmiki,love
141,fo2 ya tarek enta etkharagt ma3andaksh agazet akher el sana,negative
142,ana harfyan mehtag ho2net caffeine dlwaty halan,negative
143,ana ayez ay haga ana mwafe2 walhy,neutral
144,yarab yb2a fih akl ktir bokra,positive
145,amr el deen da bashe3,angry
146,el shabab kolha fel shar3 wana a3ed azakr haram walhy,angry
147,ento betsamo el akla dih eih el sanady,neutral
148,khaliki ente ma3 el mosalsalat kda,negative
149,ana msh 3arf azakr anhi madda fihom,negative
150,kan nefsi fe taba2 koshary akhir,negative
151,kol sana wentoo taybeeenn,positive
152,rouh l dar el efta maslan,neutral
153,ahla haga fe ramadan el sanady enena msh hanshof yasmine sabri fih,positive
154,ba3sha2 aroh el gym wana sayem,love
155,da wadeh en byotna kolha nafs el shakl fe ramadan harfyan,positive
156,la ba2olk eh,angry
157,tarebya sefr,angry
158,hwa ente 3arfa tezakry fel ayam el 3adeya ashan tezakry fe ramadan,angry
159,maba2ash feh dam khales,angry
160,mabahebesh el hagat elly fiha tal2ih alaya,angry
161,akid msh mn el oghneya ya3ni,neutral
162,kol da hasal ba2a b sabab el soura elly hatetha,angry
163,el wahed fe fatra mabet3adish,negative
164,msh ader 3ayz anzl atsahar el nahrda,positive
165,da ezay ya3ni,angry
166,eh el kalam el gamed dah,positive
167,la mate2la2ish,positive
168,mafesh ahla mn el hussein fe ramadan bgd,positive
169,kolhom eshtarethom men bara,neutral
170,eih el dehk da,happy
171,eh el har dah bgd haftas,angry
172,ma3refa helwa w entahet,negative
173,lma ykon byhkelak 3an mashaklo mato3idsh enty kaman tehky 3an mashaklek,angry
174,e3lan el ekhteyar 3 tohfa msh tabi3i,love
175,el mal3ab kan mor3eb bgd,negative
176,takhayal lw kan el gamaher fel match el awel bel manzar dah,angry
177,hwa ana kateb eni batklm 3la mawdo3 el laser magebtsh siret ay haga tanya,angry
178,gab siret en mawdo3 el azayez da haga tabe3ya msh fahem  ezay ya3ni,angry
179,dih haga wehsha aslun ay gomhor fari2 lazem ykoun mohtaram,angry
180,la ehna gomhorna kan mohtaram msh zayohom,negative
181,tabe3y en el gomhor yo2af ma3 fer2eto kda,neutral
182,msh fahem eih dah bgd,angry
183,hwa min da ya gma3a w bytklm leh asasan,angry
184,shokran shenawy fel match da walhy,positive
185,hwa el wahed msh maktoblo yefrah fel balad dih wla eih,angry
186,fer2ethom qaweya gdan hadretak bt2ol eih,negative
187,bgd 3omro m ynfa3 yb2a ahsan la3ib fel 3alam,angry
188,hwa ahsan mn salah meet mara oksembellah,negative
189,fiha ekte2ab shahren dih,angry
190,e2fel el match el momel dah,angry
191,m hwa yekhawef bardo,negative
192,leh ya montakhab bt3ml fina kda,angry
193,heya el donia ba2eit ka2iba keda leih,angry
194,hwa eih el byhsal fel mal3ab dah,angry
195,zizo zaher aktar mn salah walhy hwa malo fi eih,negative
196,o3od ya abo gabal mafesh haga ya habeby,positive
197,defa3 ye3asab el wahed,angry
198,allaho akbar ya shenawy,positive
199,batal walahi aktar la3ib bahebo,love
200,gada3 awi,positive
201,da bta3 el yonan habebna da,positive
202,zizo haikhallaslna el match inshallah,positive
203,bydrabo fe kalb mayyet,angry
204,msh fahm de harb october de wla eh,angry
205,eh elly hwa beyshraho dah,neutral
206,kda zolm walahi,angry
207,el montakhab shaklo haymot hnak,negative
208,da byskhan lma el kora tb2a maana fe nos el mal3ab,angry
209,el senegal gamden awe el sraha yaany,positive
210,fer2a tehra2 dam el wahed,angry
211,el match baz mnena bgd,angry
212,mafesh modaf3en ya gd3an,angry
213,mabahebsh el matchat el btetle3eb el sobh,negative
214,marmoush asasy,neutral
215,eh el tawator da habki,angry
216,dana masr habebty,love
217,oly enak bethazar,angry
218,da shakli dlwa2ty,neutral
219,ta2mi el mofadal,positive
220,hambeset awi law kalt macarona,positive
221,eh el drama el ente 3amlaha dih,angry
222,mana merasseky baa,positive
223,el bent de bashe3a,angry
224,hassal kheir samhiha,positive
225,el doctor aleik eih,neutral
226,hatsafri orayeb,positive
227,ya3am ana hab2a rayeh amtehen,negative
228,ta3ala ma3aya agebhom,neutral
229,msh 3arf a3esh brahti,angry
230,ana walhy habatal akalemhom,angry
231,shwayet hamas,positive
232,shayefny wana a3ed azakr lel midterms,neutral
233,haga msh mobashera khalis,negative
234,el sha3b kolo 3asabi,angry
235,el kelma dih matenfa3sh,negative
236,el sraha yaany radwa el sherbiny amar,positive
237,shayfenek kda mn barrake,neutral
238,hanekhtafo yaany wla han3ml eh,negative
239,ouli l tante,neutral
240,hatetla3 emta,neutral
241,amar zay okhtek,positive
242,el match da hayb2a nar bel ma3na el harfy,positive
243,ya zein ekhtarto walhy,positive
244,momkn mankamelsh ba2e hayatna,angry
245,aghane hamza namira de btewga3 el alb,negative
246,yalla netghada sawa,positive
247,ehna bnheb masr ya gd3an walhy bs maksofen ne2ol,positive
248,el gaw elsobh tohfa,positive
249,marmoush sayye2 bgd,angry
250,nelef el 3alam,positive
251,el fetar wagbeti el mofadala,love
252,fel ha2e2a tela3 overrated,negative
253,tafteesh gamed,positive
254,asdek eh bzabt,neutral
255,shaghallo yabny film el 3alamy,neutral
256,el damen wogodak haymarmatak walhy,negative
257,had zah2an zayi,bored
258,aghane hazena fel tare2,negative
259,a3mel eih fel malal dah,bored
260,el gaw ka2ib,negative
261,kont ha3mel eih men gheir sohabi,positive
262,nesafer bara masr,positive
263,hya kol hagaa bt3adde ah bs btseb asar,negative
264,kol sana wentaa tayb yakhoia,positive
265,hat3meli khotobtek emta,positive
266,kol da lehe2 yedo2o,neutral
267,baheb film harem karim,love
268,absha3 anwa3 el nas el momkn tet3aml m3ahom,angry
269,ha2olak eh ana wla eh,neutral
270,yaany eh yareit tefahemni,angry
271,msh zay el habal bta3 el yomen dol,angry
272,el donia helwa ahe,positive
273,kont aldagh fel w 3rft asalla7ha,positive
274,el naseha wa2t hodos el moshkla ta2neeb msh naseha,negative
275,eh el el7ad da,neutral
276,el oghneya de ghareba awe,negative
277,tb de haga helwa,positive
278,el ka2en da momel awi,bored
279,haahahaha yareit kont geit,negative
280,mestani angez,bored
281,ghaleban el 3elaka btentehy ba3d el so2al da,angry
282,hwa ehna hanetfar eih,neutral
283,amshi ezay,neutral
284,ahterem el nas eh bs homa dol nas,negative
285,mostawak el comedy aham mn gamalak,positive
286,el hayah mosaleya,positive
287,hafez el tary2,positive
288,3ayez nemshi mnen,neutral
289,el film dah kan gharib,negative
290,dakhalt wahda shaklha gherhom,positive
291,el naksh da haga gamela mabtetla3sh gher lel habayeb,love
292,ana ha2bad bel dollar,positive
293,gatek el araf fe halawtek,love
294,da lesa estanne hay2alleblek baad shwya,negative
295,ente betsayahi leh kda tyb,angry
296,taale eshtaghale maaya oltlk,neutral
297,elhamdulah kont motawakke3 en da hayhsal,positive
298,hayel w fekra 3azima,positive
299,wadini henak,neutral
300,makani el mofadal,love
301,hwa ana hathayel 3alek enak tigi,angry
302,allah 3al gaw,positive
303,el gaw moshmes,positive
304,el gaw talg,neutral
305,eih el kheta,neutral
306,ana ghaltan ene sebt el mozakra w a3adt atfarrag,angry
307,ah danta mkasel ba2a,negative
308,nam ya tarek tyb,neutral
309,ta3maha khatir,positive
310,roht enta shayel el esm,neutral
311,hat3melena 3asir eih,neutral
312,lala msh ader adkhol fe neqash,angry
313,ya3eny el walad haytganen,negative
314,soto helw gidan bgd,love
315,men dol w fe eh,negative
316,hat2akelni eih,neutral
317,ya walad tohfa,positive
318,hahaha hakhalasha kolaha,positive
319,mab3rfsh at3aml ma3 el nas el shayfen nafsohom,negative
320,tebi3 baladak ashan sehleyya zay de,negative
321,el eye contact helw ela lw maa doctor fel emthan,negative
322,baheb el lon el eswed,love
323,el wahed byb2a rayeh el gam3a met3asab,angry
324,3eshna ad eh ba2e ad eh,positive
325,social battery zero kda khalas,negative
326,ana shayel ham en mafesh caffeine,negative
327,rouhi w msh hatendami,positive
328,a2abelhom f anhy makan,neutral
329,kolo rah w zehe2,bored
330,da etshahar khalas,positive
331,3ayz ahdar hafla le ragheb alama,positive
332,shayel mnak ah bs lw ehtagteny hashel 3annak,positive
333,hagouraaa,positive
334,mashallah 3al gamal,love
335,akhoia akhoiaaa,positive
336,msh aderrr a2oum men el sobh,negative
337,lesa etba2a emthan kaman,bored
338,aham haga rahet el bal,positive
339,ana 3ayz afkes kol el araf el ana feh,bored
340,belzabt 3ashan t3raf eni sah,positive
341,eih el bagaha dih,angry
342,leh nemra ghareba tekalmny el sa3a 4 el fagr,angry
343,sabah el malal ya3am,bored
344,adman mnen,negative
345,tbda2 taktashef rehlet enak mabtefhamsh,negative
346,w beleil ha3mel eih,neutral
347,ana bakrah el madrasa,angry
348,hattena taht el tahdeed,negative
349,el gam3a de hwartha ktret,angry
350,bey2oulo magatsh,neutral
351,hakhod shwayet tahze2 dlwaty,negative
352,sohab el tofoula,positive
353,hanrouh el hafla w nembeset,positive
354,enta lazem tedhak ala khebtak fe3lan,negative
355,maloo ahmed,bored
356,msh far2a kter wallahi,neutral
357,la da habebna dah,love
358,3ayzne anzel el bahr,neutral
359,hwa 3a2el 3an kda walhy,positive
360,nesy el pantalon ghaleban,negative
361,zo2hom wehesh fel lebs,negative
362,nafseyeti ba2eit ahsan enaharda,positive
363,hwa 2al eih embareh,neutral
364,shaklaha khena2a 3anefa,negative
365,min ma3zoum,neutral
366,msh tabe3ya modheka awi,positive
367,yarab sabbarny,angry
368,bafkar gedyan awa2af,neutral
369,wes3et mnak de,negative
370,eh da ya ghaly,positive
371,msh 3arf ahadded men fehom el mahzoz,positive
372,de maynfa3sh m3aha talmeeh,negative
373,hya bt3ml m3ana kda leh,negative
374,el sahayan badre kol yom da haga gher ensaneya,angry
375,ente byhsal maake mawakef 3ageba,negative
376,shakle et3adet mnak,negative
377,yarab nos el sabr elly 3andak,positive
378,ha2oum ar2os,happy
379,enta 3andak haneen lel maady,negative
380,el geel bta3na aghlabo bytahteh,negative
381,mosalsal hekayet hayah da tohfa,love
382,gil bayez,negative
383,el donia bayza mn badri,negative
384,el le3ba kebrt menak,negative
385,ayez had yesalini,bored
386,harfyan zay m mama alet,positive
387,ahla haga fe ramadan kunafa bel manga,positive
388,eh da eh el hwar dah ya3,angry
389,shoft zalamto ezay,negative
390,lw lwahde msh ha2ol la walhy,positive
391,el oghneya dih lazem teshtaghal,positive
392,kol shwaya teza3a2li,negative
393,ehde shwya sada3t bgd,angry
394,da elhamdulah en el wahd 2ate3hom,positive
395,ta2reban da bta3 semsemya,neutral
396,msh 3arf ana la2etha fag2a,neutral
397,tabarak allah walhy,positive
398,ana wa2ef odam ahla wahda shoftaha fi hayati,love
399,sha2leb we2leb ala tol,positive
400,ekhteyar el kalam hayel,positive
401,ayzin nefarfesh w nesafer,happy
402,el donia me3andana w khalas,negative
403,ya3am fokak mny ba2a,angry
404,yom el khames ba2a wehesh,negative
405,el koleya de ta3bani,angry
406,emsahe bsor3a abl m had yza3a2,negative
407,ana 3ayz atfarrag 3aleih mn el awel,neutral
408,akhoia elly fahemni,love
409,dah beyedhak aleiki,negative
410,ana lazm aroh italy,positive
411,malak m2aryef keda,negative
412,ah walhy el omahat dayman sah,positive
413,eh da ya ghaly,neutral
414,hwa leh kol tweet mnek bt3ml ala2 kda,positive
415,salemli 3aleih gidan wahashni,positive
416,ahwet el semsemya ghayaretek awe,negative
417,hamdellah 3ala salamet akhouk,positive
418,akhoia elly beyebsetni,love
419,besmellah da el rayyes da wla eh,positive
420,danta kda tb2a affelt el hayah,positive
421,haysafer ma3 min,neutral
422,ana msh 3arf atfahem ma3aya,angry
423,fe wahda menarfezani,angry
424,eb2a roh olohom ana gada3,positive
425,asra3 tare2 le alb el bent enak tedahakha,positive
426,yarab khalik ma3aya,positive
427,3ande quiz rabena yostor,negative
428,shokran l kol wahed we2f gambi,positive
429,hateshteri eih,neutral
430,hatgib min ma3ak,neutral
431,ayez atmaran el sobh,positive
432,msh faker emta akher marra nemt feha aktur mn 6 sa3at,angry
433,khalsana msh hazakr,negative
434,leh bs da film gamed,positive
435,zah2an zayi,bored
436,eh el gharaba dih,negative
437,hwa mabada2sh bel nesbalna asasan,neutral
438,ansakho teshterouh,positive
439,walhy yenfa3 nerouh,positive
440,anani awi bgd,angry
441,ya3am matkarrahnash fel 3eisha ba2a,angry
442,dana el 3ayz asharek m3ahom,neutral
443,rayeh 3aza tany ma3 mn sohabe,negative
444,talabtaha w weslet,positive
445,ana t3bt mn el ta3amol ma3 bashar,angry
446,msh 3ayz at3allem,negative
447,el tawator el zyada khatar,negative
448,kont atmanna el hayah tkon mn gher tawator,negative
449,ostaz ahmed hayigi enaharda,neutral
450,bahawel afteker olt eih,neutral
451,nefsi el seif yigi,positive
452,bakol zalabya bel nutella,positive
453,3ayz anam yom brahti,negative
454,el hayah kolha zaha2,bored
455,kalemtek yabenti,neutral
456,hat3zemhom emta,neutral
457,bedayet el mashakel,angry
458,3rft el feha,negative
459,harfyan yom momel,bored
460,hasawat men el zaha2,bored
461,ana eh el waddane el mexic,negative
462,omal eh ya fanana,positive
463,hato monaseb awi,positive
464,haneshteri lebs emta,neutral
465,makani msh hna,negative
466,ana 3ayz a3ml shift career mn abl atkharrag,negative
467,w ba3den baa fel ta3banen nafseyan,angry
468,ana shayf eno yom helw,positive
469,mafesh ahla mn enak to3od fadi,positive
470,ya tara ehna fe team eih,neutral
471,hayel yabny walhy fakhour bik,positive
472,helw el tasaloh el ma3 el nafs dah,positive
473,bahawel afham hya ezay 3rft rakam mamto,negative
474,leh ba2a keda walahi,negative
475,yaany eh a2olak 3amel eh matrodesh,angry
476,yarab yasater,negative
477,rabna yostor f3lan,negative
478,lesa el sa3a magatsh 12 ehdi,angry
479,hahaha men 3enaya enta to2mor,positive
480,bs matetarya2sh,negative
481,mabeddehash ba2a,positive
482,ktir awi 3alaya,negative
483,la ma3lsh ana mawafe2tsh ala haga,angry
484,dol bane2admen tabe3yen,positive
485,yabnel eh dahna na2len mn ba3d,positive
486,sayyahly yabny el gebna de kolha,neutral
487,ahla follow 3alek,positive
488,khalas kda el semester kheles bel nesbale,positive
489,el lahga el maghreby de teganen,love
490,badkhol abayen kol 3oyobe fel awel,negative
491,ageblek leb,neutral
492,el esbo3 kolo ba2a yezaha2,bored
493,yalahwy 3al araf el ana feh,bored
494,ai khedmaa,positive
495,leh kda bs,negative
496,hwa beyheb anhy,neutral
497,nefse ehsas el nadam yetleghy,negative
498,hatlob menak talab,neutral
499,ehna fe warta,negative
500,wlahy mashofna break el sanade gher breakdowns,negative
501,tb wel shabab elly msh fel gouna,neutral
502,lel asaf ah,negative
503,kan helm hayate asafer hnak,neutral
504,de a3da khasrana,negative
505,3ayz amot msh ader,negative
506,basek f zo2ak gidan,positive
507,ba3ayat men kotr el dehk,happy
508,bey3asabo el wahed,angry
509,matkhalinish at3asab 3aleik,angry
510,ana hamout men elhar,negative
511,ah walhy hasma3 kalamak,positive
512,fokek gamda,positive
513,helwa zayek keda,positive
514,ya3am ana msh meday2 hwa weshy kda fel gam3a,neutral
515,3agbak,positive
516,kafaya zolm w eftera,angry
517,msh 3arf el konbela el a3ed a3mlha de akhretha eh,negative
518,yaret el nas kolha yb2o fe hosn zannek da,positive
519,ahahha monafek awi,negative
520,ew3edna yarab,positive
521,harouh ashrab,neutral
522,hya eh fekret en yetsawar keda,neutral
523,sa7lab,neutral
524,ana 3ayz arga3 2019 a3ml eh,negative
525,el geel dah mawlood batno waga3ah,negative
526,hamot overdose shawerma frakh mn ebn el sham,negative
527,el 3elakat el mostahela de le3bety,negative
528,kfaya soda3,angry
529,fix eh dante el hatbawazeh,negative
530,ana mashakle de kolha hatethal lw etkharragt,negative
531,farhetek heya farhetna,happy
532,el hob medafena,love
533,msh 3arf afham el madda,negative
534,laa ashan brahtek eh s3bte alaya de,neutral
535,la ente brahtek kda kda,positive
536,el mafrud da,neutral
537,ana 3ayz ageb temsa7,neutral
538,de haga sayye2a,negative
539,gamila gidan,love
540,ahahahha ensa,neutral
541,wakhda ma2lab fe nafsaha gamed,negative
542,el moshkla fel cereal,negative
543,fadak,positive
544,baheb el otat,love
545,kalb saye2,negative
546,la hwa bybe3 pizza bs asasan,neutral
547,ah tmam kda,positive
548,hwa yaany eh atlob pizza mn mahal y2ole el pizza khelset,angry
549,loni el mofadal,love
550,ana msh 3arf astaw3eb,negative
551,el semester da msh 3agebny,negative
552,da category eh,neutral
553,mateshrabsh sagayer fel asanser,angry
554,bel nesba lel ente lesa ba3tah,neutral
555,el ha2e2a el morra,negative
556,el akl fel kolya de haga sa3ba,negative
557,el banat el yomen dol ghorab,negative
558,w kol marra btb2a keda,neutral
559,hatli el ezaza dih,neutral
560,aiwa gada3a,positive
561,el koleya 3ayzana nesalem nafsena el esbo3 el gai,negative
562,el page de karsa walhy,negative
563,salma abu deif amar,love
564,bykhale el wahed sahe met3asab,angry
565,ya3ny eh el kalam dah,neutral
566,hagat el modamera ll nafseya,negative
567,msh fahm byhawlo ye3melo eih,angry
568,ehna lesa hanlama7 le baad,neutral
569,msh hanedhak ala baad,negative
570,khefo alena shwya,negative
571,efkesy diet ehna han3esh kam marra,neutral
572,ana moshfeq 3al nas dih,negative
573,mahaslsh,neutral
574,ana msh gai at3allem,negative
575,shabab ta3bana,negative
576,3ash walahi,positive
577,3ande fodol a3raf,neutral
578,3ayz atgawez el momasela dih,love
579,korba laziza,love
580,mana ba2ol,neutral
581,korba hwar bardu khale balek,positive
582,la da 3adda level,positive
583,eh el soda3 dah,negative
584,hya de ba2a fatret el estehbal,neutral
585,bawazo eih,negative
586,yarab eb3edna 3ano,negative
587,ah ana gali mn el etmasahet,neutral
588,ana maly ana,angry
589,newadeky alex ya salam,neutral
590,yah 3al anaka,positive
591,haram walhy el hasal,negative
592,ah walhy zaki,positive
593,ya3am da hezar w enta afasht,negative
594,hya lesa hateskhan,neutral
595,fel goal deh,neutral
596,el nas mn be3eed dayman ahla,negative
597,da kan ekt2ab walhy,negative
598,hwa kolo 3ayz forsa tania,neutral
599,3eeb walhy,negative
600,ala hasab el neyya,neutral
601,e2ta3e m3aha,negative
602,shaklaha rahet mn gherek,neutral
603,la de moshkelto hwa baa el khasran,angry
604,adeky hatetgawezy aho,positive
605,emsahe de kaman,neutral
606,2ali eni 3ayana,negative
607,eh el goal da,angry
608,msh moktane3a khalis,negative
609,da byb2a tawator,negative
610,ashan maza3losh tani,angry
611,aywa kalam mawzoun,positive
612,asra3 tare2 le alb el bent enak tedahakha,positive
613,e3mlelo block,negative
614,bat3alem mnek walahi,positive
615,maho yeganen f3lan eh el gded,positive
616,edde el walad forsa tania,positive
617,bezabt zay m olteli,neutral
618,el regala lma tel3ab,positive
619,3eshna ad eh ba2e ad eh,neutral
620,shoft wahed amar embarh,love
621,yemken el walad etghayar,positive
622,dawarly yabny baa ala kol el esmohom nour,neutral
623,omal eh yabny enta mesta2el bih wla eh,angry
624,ha3zemak ala ebn sham ba3dha,positive
625,gai wla la ya3am enta,neutral
626,eh hekayt el gawaz maake,neutral
627,3ayz aroh cairoma,neutral
628,hassek mesta2aleya beya,negative
629,hahahahah ahla zekrayat,happy
630,eddelo,neutral
631,wente ezay sakta ala haga zai kda,negative
632,sabah el nashat,positive
633,hadkhol el beit mn babo,positive
634,mafesh wa2t yalla netgawz,love
635,walahi l awarik,negative
636,fe sot namosa moz3eg,angry
637,fer2eti kesebt,happy
638,lma ala2ih beye3tezerli,happy
639,efkesy efkesy hayhsal eh ya3ni,neutral
640,3alama enek tefkesy gam3a,neutral
641,motahamesa hamas,happy
642,ehna matklmnash gher marra asasan,neutral
643,la dante shayla gamedd ba2a,negative
644,leh bs el z3i2 dah,negative
645,yarab sabat enfe3ale zay dah,positive
646,nayelty eh,negative
647,yekhrbet halawtek w da wa2to,love
648,3rft el feha,neutral
649,nefse fe reyash w hamam,neutral
650,yarab 3ayz aroh siwa,positive
651,3azama,positive
652,yah 3al 3azama,positive
653,ana metmarmat ah bs mabsot,happy
654,sah el kalam dah,positive
655,aywa ya laziz,positive
656,mnek lellah,negative
657,wla ka2enena n3raf baad,negative
658,3andek ha2 ya farida,positive
659,yareit tembeset,positive
660,leh bs el avwara dih,negative
661,ana msh fahm eh el byhsal,negative
662,khalas mat3ayatesh,negative
663,eh shoghl el kalabeb da yabenty,angry
664,el halawa halawet el roh,positive
665,eh el sa23a de yalla 3al beit,negative
666,kfaya shatayem,negative
667,shattora ya faridaa,positive
668,agmal wahda mn gher maghod,love
669,gada3,positive
670,la tab3unn,neutral
671,la dante galek kol haga,positive
672,etfarage 3al replies el hatgelek,neutral
673,kont katb haga ahla,negative
674,la mokaf7a,positive
675,khaleke ente taht el bataneya,neutral
676,enta rewesh awe ya captain,positive
677,ehna neshefna f3lan,neutral
678,ba3d ezn el shabora msh shayef el tare2,negative
679,la w ebtada yeghlat kaman,angry
680,drama queen hya ba2et kda,negative
681,yemken mesahb mn waraha,negative
682,wa2t el embesat,happy
683,ferehtelek awi,happy
684,w eh el gomla el ente katbaha de,neutral
685,yasater yarab,negative
686,yarab lw msh mn naseeby khodha,negative
687,kol shwaya 3aza,negative
688,kfaya kedb,angry
689,hwa kan byfakar fe eh bgd w hwa by3ml el mashhad da,angry
690,kfaya kalam 3al nas,angry
691,ala damantek yaany,positive
692,hahahaha oltelko,happy
693,ente leltek soda estanne bs,angry
694,omal le3ba ya fatima,neutral
