text,emotion
ahla haga fe ramadan kunafa bel manga,positive
shoft zalamto ezay,negative
lw lwahde msh ha2ol la walhy,positive
el oghneya dih lazem teshtaghal,positive
kol shwaya teza3a2li,negative
da elhamdulah en el wahd 2ate3hom,positive
tabarak allah walhy,positive
sha2leb we2leb ala tol,positive
ekhteyar el kalam hayel,positive
el donia me3andana w khalas,negative
yom el khames ba2a wehesh,negative
emsahe bsor3a abl m had yza3a2,negative
dah beyedhak aleiki,negative
ana lazm aroh italy,positive
malak m2aryef keda,negative
ah walhy el omahat dayman sah,positive
hwa leh kol tweet mnek bt3ml ala2 kda,positive
salemli 3aleih gidan wahashni,positive
ahwet el semsemya ghayaretek awe,negative
hamdellah 3ala salamet akhouk,positive
besmellah da el rayyes da wla eh,positive
danta kda tb2a affelt el hayah,positive
eb2a roh olohom ana gada3,positive
asra3 tare2 le alb el bent enak tedahakha,positive
yarab khalik ma3aya,positive
3ande quiz rabena yostor,negative
shokran l kol wahed we2f gambi,positive
ayez atmaran el sobh,positive
khalsana msh hazakr,negative
leh bs da film gamed,positive
eh el gharaba dih,negative
ansakho teshterouh,positive
walhy yenfa3 nerouh,positive
rayeh 3aza tany ma3 mn sohabe,negative
talabtaha w weslet,positive
msh 3ayz at3allem,negative
el tawator el zyada khatar,negative
kont atmanna el hayah tkon mn gher tawator,negative
nefsi el seif yigi,positive
bakol zalabya bel nutella,positive
3ayz anam yom brahti,negative
3rft el feha,negative
ana eh el waddane el mexic,negative
omal eh ya fanana,positive
hato monaseb awi,positive
makani msh hna,negative
ana 3ayz a3ml shift career mn abl atkharrag,negative
ana shayf eno yom helw,positive
mafesh ahla mn enak to3od fadi,positive
hayel yabny walhy fakhour bik,positive
helw el tasaloh el ma3 el nafs dah,positive
bahawel afham hya ezay 3rft rakam mamto,negative
leh ba2a keda walahi,negative
yarab yasater,negative
rabna yostor f3lan,negative
hahaha men 3enaya enta to2mor,positive
bs matetarya2sh,negative
mabeddehash ba2a,positive
ktir awi 3alaya,negative
dol bane2admen tabe3yen,positive
yabnel eh dahna na2len mn ba3d,positive
ahla follow 3alek,positive
khalas kda el semester kheles bel nesbale,positive
badkhol abayen kol 3oyobe fel awel,negative
ai khedmaa,positive
leh kda bs,negative
nefse ehsas el nadam yetleghy,negative
ehna fe warta,negative
wlahy mashofna break el sanade gher breakdowns,negative
lel asaf ah,negative
de a3da khasrana,negative
3ayz amot msh ader,negative
basek f zo2ak gidan,positive
ana hamout men elhar,negative
ah walhy hasma3 kalamak,positive
fokek gamda,positive
helwa zayek keda,positive
3agbak,positive
msh 3arf el konbela el a3ed a3mlha de akhretha eh,negative
yaret el nas kolha yb2o fe hosn zannek da,positive
ahahha monafek awi,negative
ew3edna yarab,positive
ana 3ayz arga3 2019 a3ml eh,negative
el geel dah mawlood batno waga3ah,negative
hamot overdose shawerma frakh mn ebn el sham,negative
el 3elakat el mostahela de le3bety,negative
fix eh dante el hatbawazeh,negative
ana mashakle de kolha hatethal lw etkharragt,negative
msh 3arf afham el madda,negative
la ente brahtek kda kda,positive
de haga sayye2a,negative
wakhda ma2lab fe nafsaha gamed,negative
el moshkla fel cereal,negative
fadak,positive
kalb saye2,negative
ah tmam kda,positive
ana msh 3arf astaw3eb,negative
el semester da msh 3agebny,negative
el ha2e2a el morra,negative
el akl fel kolya de haga sa3ba,negative
el banat el yomen dol ghorab,negative
aiwa gada3a,positive
el koleya 3ayzana nesalem nafsena el esbo3 el gai,negative
el page de karsa walhy,negative
hagat el modamera ll nafseya,negative
msh hanedhak ala baad,negative
khefo alena shwya,negative
ana moshfeq 3al nas dih,negative
ana msh gai at3allem,negative
shabab ta3bana,negative
3ash walahi,positive
korba hwar bardu khale balek,positive
la da 3adda level,positive
eh el soda3 dah,negative
bawazo eih,negative
yarab eb3edna 3ano,negative
yah 3al anaka,positive
haram walhy el hasal,negative
ah walhy zaki,positive
ya3am da hezar w enta afasht,negative
el nas mn be3eed dayman ahla,negative
da kan ekt2ab walhy,negative
3eeb walhy,negative
e2ta3e m3aha,negative
adeky hatetgawezy aho,positive
2ali eni 3ayana,negative
msh moktane3a khalis,negative
da byb2a tawator,negative
aywa kalam mawzoun,positive
e3mlelo block,negative
bat3alem mnek walahi,positive
maho yeganen f3lan eh el gded,positive
edde el walad forsa tania,positive
el regala lma tel3ab,positive
yemken el walad etghayar,positive
ha3zemak ala ebn sham ba3dha,positive
hassek mesta2aleya beya,negative
wente ezay sakta ala haga zai kda,negative
sabah el nashat,positive
hadkhol el beit mn babo,positive
walahi l awarik,negative
la dante shayla gamedd ba2a,negative
leh bs el z3i2 dah,negative
yarab sabat enfe3ale zay dah,positive
nayelty eh,negative
yarab 3ayz aroh siwa,positive
3azama,positive
yah 3al 3azama,positive
sah el kalam dah,positive
aywa ya laziz,positive
mnek lellah,negative
wla ka2enena n3raf baad,negative
3andek ha2 ya farida,positive
yareit tembeset,positive
leh bs el avwara dih,negative
ana msh fahm eh el byhsal,negative
khalas mat3ayatesh,negative
el halawa halawet el roh,positive
eh el sa23a de yalla 3al beit,negative
kfaya shatayem,negative
shattora ya faridaa,positive
gada3,positive
la dante galek kol haga,positive
kont katb haga ahla,negative
la mokaf7a,positive
enta rewesh awe ya captain,positive
ba3d ezn el shabora msh shayef el tare2,negative
drama queen hya ba2et kda,negative
yemken mesahb mn waraha,negative
yasater yarab,negative
yarab lw msh mn naseeby khodha,negative
kol shwaya 3aza,negative
ala damantek yaany,positive
w law 3ayat dlwa2ty,negative
oltelkom ta3mo haye3gebko,positive
el mofadala,positive
msh 3aref et7ad el talaba malhom,negative
nerouh el malahi,positive
formet eh baa kemyet el shawerma el bakolha de,negative
el wahed 3ayz yenzl yakhodlo laffa fel wekala,positive
rabena yogbor b khatrak,positive
habibi allah yetamenak yarab,positive
ba3d ezn el mohn 3ayz atlob,negative
ba3d ezn el koleya ehna msh lah2en ne3esh,negative
sabab el mashakel yom el gom3a,negative
sibo el wahed yembeset,negative
el wahed ayez yefarfesh,positive
oul nokta tania,positive
fekra hayla el gary el sobh da,positive
ashtar had a3rafo,positive
rabena ywafa2 el gami3,positive
alf hamdellah 3al salama,positive
lw kont mohtam kont 3erfet lwahdak,negative
yarab efregha,positive
yarab ektebo 3alena,positive
hatla2ehom gamdin walhy,positive
neshaga3 ba3d,positive
hwa eh el so2al el ghaby dah,negative
shokran 3ala ta3abek ma3aya,positive
ya3ne homa el zakro affelo yaany sabah el fol,negative
eh el 3azama dih bas,positive
alby ma3akomm,positive
msh ma32ol baad el mozakra dih kolha,negative
hahahahah laziz el hwar,positive
yekhtay ala handaset el kahera,negative
akheran hass bel tabaqa el motawaseta,positive
ta3amol b borood maa el nas el 3asabeya she2 momte3,positive
matsalemsh 3aleih,negative
yarab ana msh 3ayz akaml ta3lem,negative
kol m akolha aftekrek,positive
tmam helwa el fekra,positive
msh hanekhlas shaklena keda,negative
yalhwy 3al araf el ana fih,negative
mafish haga mestahla el za3al,positive
farfeshi shwaya,positive
el gaw dah mehtag hagz kora,positive
wehna bnmtehen el nour ata3,negative
lala allah yekhalekom,positive
la dante rabena maake baa,positive
msh haymot ebn el mahzoza,positive
rabena yekatar men amsalak,positive
el wahed byakhod mawad gher adameya walhy,negative
enta gai el nahrda wla hatsawahni lwahde zay el marra el fatet,negative
fe arabeya we2e3 menha hagat,negative
mabrouk 3al takharog,positive
el ba3mlo dah habal msh mozakra walhy,negative
el emthan dah mehtag mo3geza,negative
kfaya emthanat ba2a ana zeh2t,negative
rabena yesabetek,positive
allah yesamehko 3ala el kalam dah,negative
el wahed metbahdel gamed el yomen dol,negative
hay3ml hafla,positive
bey2oul ahsan kalam,positive
el wahed nfso yeshtaghal,negative
omi dayman beykoun 3andaha ha2,positive
dah eih el gamal dah,positive
la fokek shaklek meday2a,negative
fekra helwa bs matnf3sh 7 pm,positive
mashoftesh mosalsal agmad meno,positive
darben ba3d bel gezam,negative
leh el zolm dah,negative
el matshofsh mno wehesh matsada2sh kalam el nas 3aleh,positive
hazin 3ala el 3eshra,negative
bgd el 3eila haga mohema awi,positive
shoufo bas w msh hatendam,positive
nadman awi eni marohtesh,negative
la bs kan nefsy,negative
ayza demaghi tesatarayah,negative
matshelsh ham haga,positive
rabena yewafa2ak fel mawdou3 dah,positive
dah lw 3eshna le 13 dec,negative
nenhar kolna fel weekend ba2a,negative
tel3et helwa zay m oltelak ha,positive
surat yusuf sot mashary rashed aktur haga moriha fel hayah,positive
eh lazmet el weekend law htfdalo tedoona assigments,negative
da ehna fe mo3anah walhy,negative
w ba3den ba2a fel a3da dih,negative
danta el flos ghayaretak,negative
motakhayel mn 2016 w lesa mafish haga gdida,negative
el wahed 3ayz yanhar bs mafesh wa2t,negative
el drasa fe masr mn aktarr el hagat el mot3eba nafseyan walhy,negative
msh 3arf astaw3eb en el calculator mamno3a fel emthan,negative
yalla nwadab safareya helwa,positive
medhat shalaby dah sa3b,negative
3ayzin neraga3 el ayam el helwa,positive
shaklo daye3 khalis,negative
walhy el mohandsen nafsohom msh 3arfen homa by3mlo eih,negative
el oghneya kolha te2ref walhy,negative
ha3melak ahla eidmilad,positive
rabena yes3edek f hayatek,positive
msh lazm tb2a fake kda ashan yehebok,negative
men nagah l nagah ya habibi,positive
mawdo3 gamed awe lma yb2o nas gad3a,positive
mahadesh fo2 el qanon ya basha,positive
el rokhsa da3et ghaleban,negative
lala kfaya drama allah yekhaleky,negative
ya3am ana msh meday2 hwa weshy kda,negative
aslak w atyab wahda keda keda,positive
tashgee3 el nas w homa fe awel tare2ohm ahsan,positive
lw 3eshna lel gai ba2a,negative
msh haynfa3 akaml fel mahzala dih,negative
el semester dah lazm yentehy dlwa2ty,negative
ana mota2akeda enak hateksab,positive
kol el edert astantego ba3d el lecture deh en ana fe warta walhy,negative
aktar wahed gada3 abelto f hayaty,positive
enta msh olayel bardo,positive
el oghneya dih bel zat gamda awy,positive
kharbana mn kol hetta bs ana raye2,positive
sahi faye2,positive
mahadesh 3agbo halo,negative
ahla akla men 2id omi,positive
momken nerouh nel3ab hatkoun laziza,positive
eh yasta lebs el 3afarit elly enta labso dah,negative
lama tartabeto 9 senen w ba3den yesibek,negative
do2ha bas w ed3ili,positive
ely 3ala group el dof3a bymoto fe nashr el esha3at,negative
w ba3den fel term el shaghal ma3 nafso dah,negative
el moshkla en kararati el ghabeya deh akhadtaha ba3d tafker tawel,negative
kol m afteker el safareya a3od adhak,positive
naharak abyad,positive
ana msh 3ayz ala2 hna,negative
ahla fetar dah wala eih,positive
wala yehemak el mohem testafad,positive
3atah,negative
yasater,negative
el wahed b2a byzoor el beet w yerga3 el kolya yekaml hayato,negative
ana asef le ay beyt3amell ma3aya fe el gam3a,negative
lma a3od maa atfal el 3eila bab2a 3ayez amawet nafsi,negative
el doctor 3amel doctora fe kol el fields el fel hayah,positive
ahsan gam3a fel tarikh,positive
el slides deh mashro3 fashel,negative
dabbor w zan 3la kharab 3esho,negative
3ayz akon 3adim el ehsas,negative
eh el nodg dah kolo,positive
gharama 500 geneh dah el as3ar walla3et,negative
haksar el hala2a bokra fel match inshallah,negative
msh 3eb wahed fe sennak yakol astika,negative
khalas kda tawakalna 3ala allah,positive
3ayzin nelghi ehsas el tawator,positive
dana hageblak kol el akl elly enta 3ayzo,positive
ma2a3atesh ma3 nas ro7hom helwa bel manzar dah abl kda,positive
hwa ehna eih el 3elaka entahet,negative
amar f kol ahwalek,positive
shaklek 3amla mosiba,negative
msh na2sa waga3 alb,negative
helwa el soura el hatetiha,positive
helw awe el hagat el hateftah henak dih,positive
el homom btektar ma3 2orb el gam3a,negative
hasal kheir yalla nerouh,positive
eh el talawos dah,negative
elhamdullah 3ala kol she2,positive
habeb alb el banat,positive
bsraha ya3ni el gym hwa hal ay haga,positive
dah enta keda tamam awi,positive
yah 3ala dih shoghlana,negative
wow amar,positive
kan bayen awi 3amtan eno msh ala ba3do,negative
msh ader gebt akhri,negative
ehna nekhreglak film n3ayeshak fe dor el daheya el enta fih dah,negative
el semester el fat dah kan karsa walhy,negative
hwa labs hezam nasef wla eh,negative
la dih albaha mayet khales,negative
el saraha el zyada bte2leb ma3 el nas elet zo2 walahi,negative
el wahed me2adeha mute lel nas ala instagram,negative
hahahahahha khalas nelghiha,positive
kol mosalsal lazm yb2a fih episode el wahed 3omro byensaha toul hayato,positive
mostawako b2a fel nazel khales ya shabab walhy,negative
danta 3aysh fel mahalabeya walhy,negative
tmam shokrann,positive
el wahed bytkhad mn kelmet rob3 million aktarr mn 250 alf,negative
shabab twitter lma byefto ba2a,negative
el yemshy warak yendam,negative
ana dmaghi mehtaga mohallel nafsi haleyan,negative
nasini leih,negative
hadafha enena nefrah w nrayah ba3d w nesahhel el hayah 3la ba3d,positive
dih bashe3a,negative
msh lazm ne3alli ala baad w nshof men mashaklo as3ab,negative
haiedrabha wala eih,negative
el walad we2e3 mn fo2 el hosan,negative
sabah el tazwir,negative
la enta haltak may2os mnha khales,negative
eih el hozn dah,negative
amin yarab,positive
el khorog ma3 el nas el btrawa7 badri dih haga momela,negative
el wahed hases eno haythesher fel kolya dih rabena yostor,negative
fayto shwayet e3trafat nareya,negative
el sho3or bel araf aswa2 meet marra mn el korh,negative
ah walhy kalamak meya meya,positive
el wahed za3lan walhy ala el foras el bydiha lel nas w bydaya3oha,negative
konbelet 3enad,negative
yekhrbet halawtek,positive
eh el ekhteyarat el ghalat dih,negative
kont masali el a3la w khalas enhart ya safah el underage,negative
ana bala2i nas ma3rfhomsh asasan afshin meni,negative
ente 3amla mashakel,negative
el wahed msh 3arf yela2eha mnen wla mnen,negative
3ayz anhar bs feh quiz lesa,negative
3ayz asib el ta3lem,negative
kfaya gam3a,negative
walhy fe nas shayfak wehesh ashan getlha doghry,negative
ehrabe,negative
bakrah el zan,negative
el 3yal el soghayara dol byaklo akl 3ageb oksm belah,negative
edrab ya sheikhna,negative
el ragel bta3 el icecream faker nafso saher ta2reban,negative
alarm iphone da haygebly sakta albeya walhy,negative
enta zay el fol ya bro,positive
msh tabi3yin a3den yetkhan2o maa nas tanya ala oghneya,negative
esm nazly da gamil b tare2a eh da,positive
msh 3arf afham,negative
quantum mechanics de 3ageba,negative
hewar gai fel tare2,negative
pfp tohfa,positive
ya nasy wa3dak wa3dak lya,negative
da 3ayel sakhif,negative
khena2at el chat deh byksab feha el byktb asra3 msh el maah el ha2,negative
el sraha de 3yon msh mehtaga tesherly,positive
3ayz ageblokom lemon terawa2o badal manto sokhnen ala baad kda,positive
kan mn sohabe baa,negative
3ayzen nezabat yom nenhar feh maa baad b2a,negative
ehna ne normalize ay haga ente 3ayzaha ya amar matz3alesh nafsek,positive
ba3ml nafse msh wakhed bale ashan msh 3ayz akhsar,negative
ghareb awe lon 3enek el tabe3y el bytghayar kol yom da,negative
hwa mafesh ahla mnha asasan,positive
mn el hagat el btkhale dmaghe t3ml error,negative
matb2ash sakhif w to3od tezen hwa msh 3ayz,negative
el taghyer helw,positive
zolm,negative
msh kfaya amr diab,negative
yalahwy 3al hekam,positive
hozn badre awe el nahrda,negative
aktur wahda ana shayfha amar fel hayah ana aktur wahd hya mabete2hosh,negative
ehsasek ghalat,negative
zeino btehky details tare2a tohfa,positive
3adad el nas el bakalmhom el fatra de maykamelosh talata walhy,negative
banat ukraine eh yasta msh lma bto3 baladak ye3abarok el awel,negative
da3et heibet el haz,negative
fe 2020 bardu kona a3den ne2ol la el corona ba3eda 3an masr,negative
ne2abelhom fel akhra ba2a,negative
msh ader,negative
mehtag anzl maa sohabe el metefe2 maahom ba2ale sana abl el 3alam yentehy,negative
ya3eeny ukraine btede3ek dlwaty,negative
takhayal to3od tethayel ala ashan ye2olak hwa meday2 leh,negative
ha2olak ana ala mabda2 helw ay tela2eh metghayar maak mn gher sabab seebo,negative
el nas byb2o dakhlen yet3amlo maak enak temporary fe hayathom,negative
mo3afra ashan eh bs battalnaha khalas ana msh dakhel harb,negative
data structure de ghareba gdan,negative
msh ader 2ereft,negative
3ayz application y3arafny el bytesel 3ayz eh mn abl arod,negative
el doctor da toxic,negative
ana ba2ol kda bardu,positive
sho3or sa3b gdan ya3eeny,negative
hanebda2 seyah badre kda,negative
da msh gadwal lectures da gadwal eqama fel koleya,negative
harfyn bahes nafse azka wahed,positive
helm hayate aroh el gam3a faye2,negative
3adad el sa3at el banamo da gher ensany,negative
hahahahahahha helwa mnakk,positive
eh el oghneya el tohfa de msh ha2olha lhad,positive
eh el mahzala de,negative
lesa bn2ol besmellah rah ayelak quiz,negative
ba2olak eh ba2a msh hanenhar mn abl el term yebda2 yaany,negative
brahtek ana kda kda hatgawezek fel akher,positive
w ba3den el gaw wehesh el yomen dol hanroh el gam3a ezay,negative
w m3ana masa aktur wahda btseeh mn el gam3a asasan,negative
nefse atkharrag w ashof el hayah 3amla ezay mn gher mozakra,negative
el ta3lem da mashro3 fashel,negative
khaf mn el neyeto msh bayna,negative
zero dehk,negative
la fokek da gamda,positive
ghaleban masha3er el odamak aham mn enak tehrego,negative
mabyhsalsh m3ana leh el kalam da,negative
el hayah de ghareba gdan walhy,negative
hagat kter awe makantsh mehtaga kol el ehtmam da w hagat tanya ahmaltaha,negative
el wahed lw rege3 beh el zaman 10 senen maslan mehtag yesalah hagat kter,negative
matgesh mnak enta ya sahby,negative
3ayz ahke lhad mashakle w ba3den a2telo,negative
ehna sohab mn el nahrda,positive
leh bs,negative
mafehash noom fel leila de,negative
allah yerham el bbm kona bn3ml ping,negative
ana a3raf nas za3lanen mny ala el 3amaloh maaya,negative
khosaret el calories,negative
wimpy ta3ban awi,negative
mesh ayez ashoufek tani,negative
el zodiac signs ta3bako fe dmaghko shwya,negative
shaklaha bedaya mobashera,positive
ana msh gahez lel semester el haybda2 maa nafso da,negative
ana leh msh fe italy dlwa2ty,negative
modheken awe el nas el bye2ta3o maak fag2a,negative
akl el 3eesh morr,negative
ya tara mamsok 3aleh eh ashan yenam el nooma de,negative
ahlek msh hassen bel ne3ma el 3andohom,negative
80 mn el by2olo ahh lw ethatto fel mawqef msh hay3rafo yekhtaro 3amtan,negative
mawqef sa3b awi,negative
atamana tt3arafy ala wahed mohtaram,positive
we2eft 10 mins maa alman kerehtehom el 3omr kolo,negative
yarab nekhlas,negative
ente etnaseiti khalas kda,negative
la gamdaa,positive
ba3d ezn el avwara 3ayz atlob el akl,negative
matetarya2sh aleh baa ashan mathassalosh,negative
ostor yarab,negative
nefse fe mesa2a3a bel bashamel wel lahma el mafroma,positive
msh wa2to el nahrda khales,negative
kda msh 3ayez t2oli,negative
ana ra2ie en enta el ahla w nos,positive
malko magrohen kda leh,negative
shoft ghaffeltouni ezai,negative
msh wa2t emojis khaless,negative
msh hayb2a mafesh hob wla akl ya3ny,negative
el byhsal da mesh tabi3i tab3un,negative
matetfaragosh 3al film da ashan wehesh,negative
3amel hafla lel nas el single bokra,positive
allah dante shatra aho,positive
la ezay ana masdoum,negative
bagi el madrasa 3ashanek,positive
ana basek fihom awi,positive
medaye2 3ashan marahsh,negative
eh el sohola de,positive
el regala lma tehabel,negative
tohfaa shatra awi,positive
kan nefse akhodha date fel valentine bs sahebha afil w msh haywafe2,negative
shokran,positive
tohfaaa,positive
de msh tal3a bel kheel fel ahramat de ghazwa walhy,negative
la danta el mawdou3 lesa m2asar alek lhad dlwaty,negative
aho da 3eib dahab baa,negative
la hawl wla qowat ela bellah,negative
bs ashan mayftekornash maganen,negative
msh 3arfa awsalek,negative
ana etsadamt fiha,negative
el ehtmam el zyada ay shakhs bykhaleh yet3ala alek,negative
rabena ye3enko walhy ya shabab 3al araf el ento feh da,negative
bala2e nas ma3rfhash asasan mdy2in mny,negative
ghasheem enta bardu,negative
el moshkla eno dayman beyedkeb,negative
da ehna lesa hanerghy maa baad,positive
malak ya batal meday2 leh,negative
el naksh da mahabba walhy,positive
ai khedmaaa,positive
lw kan 3ande hosan makansh zaman wa2ef fel zahma de,negative
adeky la2ety haga tesaliki lma takhdy el agaza,positive
waheshny ya3am,positive
mokalmet abo gabal w mamto helwa awe bgd,positive
rekhem awi,negative
hwa eh el habal da wenaby,negative
dante folla,positive
yrod aleha msh ader,negative
fakhoren beko,positive
yarab onsorhom yarab,positive
homa kotar 3alena kda leh,negative
kfaya kda el nahrda wenaby,negative
