tweet,sentiment
jamalak ya 3asoly lk bi3sha2ak ana alah yi7kmik ya 7obby da5il zamalo,1
bmout fiha min,1
el manzar helo,1
allah yesma3 menakk,1
alah yesalmek thanks,1
bas ennu bkafi sheftek y2oborni jamelek,1
wow wow wow btekhoud 3a2el bravo,1
bhbk ktr,1
eh mni7a khls 3ajbetne,1
3a2bel kell sene,1
wlekk aywa,1
good morning ya bayk,1
merci laenik deyman ma3na,1
essa bdna wahde bhe2elo la abu el lel 4 yo2boshne,1
hohohho 3leik 5ayr,1
bkra el clasico sara7a ma7a 27ke ktir 3ashen damen el reb7,1
mbala and here ull say nshalla 3atool merci,1
btestehali naja7at al deni l2nek btenshri al fara7 wen ma ken mabrok 3layki inti wa m7ebenk kl naja7at,1
ahla shab,1
bheb wajjeh tahiyye lal dekene btdall fetha lal se3a 10 bl day3a,1
sba7o bro,1
mercii habibteh,1
merci hyte metlik,1
yes3od maseke madam ahlam kifek nchalah bkher momkin ehkike khas lww samahte daroure,1
yo2borne allah li khala2 ltayab,1
yeslamle hal mankhour,1
kabran smallah,1
yeyy shu bet3a2ed ibtiss 7bait kter new look tb3a,1
sha3eb bi7ib balado,1
eh habibo,1
ta7iyyete la ghandi,1
hayete entii,1
wlak ehh,1
hayatati shu bhebkon,1
halla2 seriously fi seer denniye mant2a kteer 7elwe bass inno ma tet3ate ma3 7ada bass ka nature raw3a,1
kil 3ayle kaiss kela jamel,1
hahahahh tab3ann,1
100 bravoo sara 3ala wa3yek,1
tayib el 3adas ya bro,1
yala nwale3a,1
merci da3mak rafael nchallah byejma3kon 3amal 2a2rab wa2t love both,1
sheyfe ma atyaba hal bannut,1
be2olo b3aynayke seher ma bteslam meno da2at,1
salemet albkk,1
lol ken 3nde rfi2 y3rf bel akhla2 wel wafa,1
ya hayeti,1
2a7la manzar bchoufo b7ayete tayyeb,1
ne7na e5we mn 8ayr ahel ya khaye,1
enta kbir,1
enno eza bedik chi masle chii ro2assa bel clipp fi ana wala yhemik yaaneh,1
mashaallah my view from my grandparents balcony this jame3 is beautiful,1
elie sleiman m3alim,1
ma3 ene dyman bred lsene be 9 shafrat ana kazebaa ya rab tsm7nee,1
heart shaped joura khalas ma ba2 ra7 n3asseb mennik,1
ma asrte fashytleew 5l2e,1
merci habibti,1
4years esht2telk ya ghali ya baye,1
allah ysalmak thanks,1
brothers mabrouk abou ali,1
bhebak thou,1
hayoufa habibet albna bas,1
wlk salemet ejrek,1
bechta2lik kell raffit 3ayn kell ma da2 2albe b7ebbik,1
mni7 ana 2ata3et hayy mar7ale seret bi wa2et 3ande 2 courses kell semester,1
eh mnih tamantine,1
happy birthday fawzii nshala bt72e2 kel 27lemak love uu,1
shukran shukran men ma kent tkon aw tkone love you 3anjad 5ajltone mwaah,1
finally 3refte,1
yuu salemtakk,1
la eyounik,1
8ayrak ma bade 2loob,1
lak happy birthdaay la ahla nini bel dene,1
lek habibi,1
sabaho,1
tekrameh loulou,1
hahaha enta jamelak gher mawdou3,1
miss 7obi,1
wlik nyil alb kkl 7ada refa2ik bhl re7li nyel albon,1
min ghayrik ya arzit lebnen kharj y3ayyid jeish bi 3ido fakhourin fike,1
allah ystour,1
maybe bas kti helwee,1
allah ykhalilna hal net,1
sabaho ya amour,1
hayda houwe jamel bhebik ya amar,1
nehna jehzin walla inte na2e date bass,1
sabah nour ya rouh albee allah yeg3al yawmik sbahik malyen hobb 7ala,1
ykhalili albak,1
ktir helwin confessions bhebkon,1
y2borni ma atyaba,1
lak albe enta,1
khalas awal ma o2bad 3acha 3laye kelkoun ma3zoumin,1
kif ken nhara 7elwetna,1
shu innak happy kid,1
saba7 ma7abi li2ano lywam 3id ma7abi 3id 2om,1
nourdarwish_ hahahahahaa yeslamlee le byege berouuhh,1
allah yuhfazak ykhalilak ahlak,1
miss you ad baher,1
na2ili ahla zahra,1
bmoot feke ana,1
allah ykhalilik emik allah yer7ama habibti,1
enta 7orr,1
hahahaha fadeh wlo saba7oo,1
be albe hehe,1
hahhahaahahaa helwin,1
hahaha ha efthlon shebek yenzlo y23do ma3na,1
a7la friend wallah,1
3omre ana,1
cuz badde kejjik,1
yrba b3ezek bi dalelik,1
jamelkon 7abeyeb l2alb ghabi raphi yo2brni rabkon chou b7ebkon,1
wma w3adtik njoum layl,1
bass helwe bte2toul,1
ha2ikk habibtii,1
niyela tia fiki bhbk,1
ya habibi,1
ma tensame hayatim ento n3me,1
2eleeb gheleb jamelik jameel dekhlik li 3am ye3kous 3a jamelik khereji malaki bi akhle2ik tybttiik tawad3,1
akid natrinak ya kbir,1
ktir 7lwen kalimeta o8nyi one of my best,1
sa7tayn ya ghalye,1
shukran la wjdokon be 7ayti,1
7abeebi bl aktar brhum,1
yu2burne yali 3m ysu2,1
3anjad sho mahdomeen,1
3melet like bas nshalah 2e2dar enzal 3a beirut jom3a,1
oul allah,1
bmout bgharamek,1
thank you hbb 3alina 3alik,1
ktir bheb 3alam yali bytfalsafo bala ma yfakro bl mante2 bhes hale ktir zakiye,1
helo kter mashaallah bas nefse t8ayre hal pose,1
habibii ana kamen home,1
lk beskon bl khayme bsaknek ma7ale,1
dakhil rab red and black,1
so my mom ela yawmen 3am t2elle enne helwe wowowow ana mfalls mom,1
msefra trou7e terja3e bel saleme bas khabrina chou fi,1
27lem sa3de,1
ahla kalem bi fich el alb,1
shu kbiir albo,1
3am tehke mazbout,1
noo 3ide bokra bas 3ayadoune abel be yawm btw merci ktir lana,1
ente 3arfe eno ana maflouj b7obbek,1
inshallaa a7s ena 3ed ya3ne,1
habibi,1
3mb tsire barbie aw shou betsattlee,1
a7la tont garce,1
alf sahtayn,1
wallah bhebak min ghayrak bado yjibne,1
haha ta2es majnoun bs bhebbo,1
3am e7dar film ktr waw bass mbrf esmo emt tzakrtk,1
ah meshe 3a rasse,1
ma mnaaref nekhod selfies helwin bes bhebbik,1
sabahu allous,1
ykhalilak yeha hbb,1
da5l jamelik hadamtik,1
jamelik nansi,1
meshe habibe allah yhannikun it was nice experience,1
saba7 khayr ya 3omri,1
ya habibet albe ente law ta3rfe adeh farrahtina adeh bhebbik adeh fakhoura fike,1
akid akid,1
mn temmak la bab sama,1
le hla2ad helwe ente,1
32bel ma ne2dar nejtemi3 ma3ik bi lebnen,1
inte kteer 7elwe,1
sa3ade fo2or wel ghena,1
hahahah stil hearing it bas akid rah eshta2lo,1
bonjourr to2breni nchallah ykoun nharek helo ana rayha 3al madrase rah eshta2lek,1
ana bhebik no2ta 3al sater huh,1
allah yenssorkone,1
fi hada we3e bakir akid m7mas for tonight,1
yekhreb baetak habbaetak,1
habibte ente boukra baalle2lik posters,1
happy mothers day alla yklili yaki,1
tesba7i 3la khayr,1
bkoun mamnuntek,1
bn7bek marwan,1
10 ashta 3asal,1
yi habibi ktir cutie 3,1
ta3a la albe,1
lahza hayda cutie elik,1
hos ballash madrasat l7ob ajmal l2aw2at lamma nkoun 3m no7dar shi elek,1
hahaha tabb sma3e shi bifarfish barke byetghayyar,1
baby sht2telak,1
btaarfe le bc aam nakit maae ana mahdoume so hadamte bten3ekis ela with manik mahdumi,1
hahahaha niyelek fiye,1
leh ma 3m t3abreni leh ennu love you ktiir kaza,1
uf ya alla ktir mahdoum,1
aa2bel alef miyye,1
ya ahlan fiki ya nathalie el muhim testafidi,1
nhar wala ahla,1
ratrout allah y5allilek 2emmek ya rab yeslam hal sawt raw3a,1
congratulations ktir 7elo mousalsal natrin 7al2at ba2we,1
b7bek la y5las 3omri,1
ahama shi eno tkoun mabsout 7at law fi ness ma badon hal shi,1
albi rouhi jujati 3a2bel 100 abariniii banoutet baytna ghanoujetna wa7idi,1
haza meno hada l7elo,1
bhebik loser,1
najwa kella zaw2 a5lee2 tawado3,1
eh wanted to ask shu sayer ma3ak salemtak,1
allah kareem,1
bas helwe rjae nazliya,1
tole3 ba3do 3ayish hahaha,1
ajmal min hayete,1
ktir bheb eno ref2ate bya3moule tag 3ala hayde,1
iza kel bijewib 3ala hayde tweet betla3 live yalla,1
jamelo,1
sabah noor,1
badna nwajeh ta7iye la n3ayydo nitf,1
mhamad bedna ta7iyeh min lna2ach lal ghazieh,1
habib albe,1
wow hawde bel 1997 7elwe btdallik 7elwe,1
l3awad salemtak me hbb ya dam,1
ghaida adde aam tedhake,1
ah ya helouu,1
ahh lhamdellaa,1
allah ykaberna,1
hayete alla ywaf2ik yemta betkhlse,1
walla badde sewe shi iza mnerbah,1
jamelik rita tayoube,1
akh chou bhebbik,1
smalla 3lek alla y2awik,1
thanks habibi,1
aahahha ktir bshil,1
bokra fe surprise la eli nshalla tkon helwee bass,1
ahla shala bel kel natraaka,1
hayete bebe,1
meen bi 3a2do,1
no sa7tein,1
ana bet5araj ymkn,1
wallah yemken ahla compliment hayda,1
ma mlahzin ma 3am ne2 ktir,1
alla yehmik ywaf2ak btestehal kel kheir ya istez,1
yi salemet alba your bestie ahh sorry shes my bestie too,1
betmooni mre2e khede shway mn 3na,1
hahaha eh a7la ma2ta3,1
hahaha wlek yekhreb bayteek habebe ana b7bekk kk,1
chta2nelik kteir amaree ta3e hkenaa netaman 3anik khabrena sho 3emla,1
yo2berni yali 5alla2ak,1
bil keif bunch of rawa2,1
alah ymarre2 hall2iyyem 3a 5eir,1
walaw mafi a7san mennak bro,1
sakaret chem benja7 tarbiya,1
yaa mich tb3ee chu cht2nelikk wlo,1
ykhalilna yeki,1
kel yum ma3 ba3ed actually heuheu,1
lak shou hal soware shou hal looks hawde amar,1
7elwe sahra ma3na eh,1
allah yawf2ek hayatim elek f2dee,1
eza sushi ta3o 3a my restaurant sushi bar suttiku elkoun discount,1
b7ebbik b7ebbik b7ebbik lk ente 3omre wl dene kella 3ende,1
mni7 ma bibayno fik,1
leli leli lel ya 3en,1
ahahahahahaha yala,1
eza my eyebrows kouno helwin bhes hale ktir helwe,1
chou ra2yik teje te7kina lyom 3ende eval maths bokra ta3e 3tine chwayit energie,1
habbayte aa zaw2ik,1
habibe ya abed thanks bro,1
aslan lbenet helweh ma sar chi fiya ta3mil modeling,1
thank youu ya 7lwee 3yonekk,1
natriino ya 3omri,1
yeslamle 3aynak jari2 wel vedette ya amar,1
amar bi ma3na el 7a2i2i ya amerat el amerat inti,1
alf mabrouk allah yihanikon yiwafi2kon,1
jamelikk na3iman,1
to2borne hl talle hl de7ke,1
ahdam ahla benet bl dene kella id love to see you soon,1
7arakatik ya waylii,1
saba7ik yaroush,1
met7amsi ktir carolina lil 7al2a,1
alah ysma3 menak meno menne mn aboudi hamudi tofi,1
ktir ktir ktir bhebbik,1
mitla abadan sibhan alla,1
we nihna ma mni3bal ghairak ra3is,1
yo2borne allah,1
betraye7 hbb yalla,1
kelak zo2,1
chta2tellik ktir,1
t2bor hayete ldaffeye shu bheba,1
yes3d maseke ya aghla 3alam to2obrine,1
fi ahdam mn hek,1
wejjak art,1
hahahahah shou mahdume,1
good night ya albii,1
akid mnu 3eb,1
hahaha habibi,1
ya bayye ma ajmalo,1
saba7 nour,1
kello jehiz tfaddale,1
btaarfo bhek ta2es bhal hawa ade naqoura bt kun hlwe,1
haydi masere7 khele2et la elik,1
habibi enti elek atyab croissant,1
cht2nelikk tayib,1
hahahahaha bhba msh ide,1
oh my god ktir 3abele ouzi,1
shou 7bayt hal dress ktir 7elo mermaid cut betsattil 3leike 3atoul,1
jamelek enti,1
sabahoo nchalla ykoun nhar 7elou lal jami3,1
wala ahdam ktir b7ebik,1
walla mahdum,1
mannak alil,1
public health daghet ktir bas jaw ahla malyounen marra,1
yalla kelkoun elkoun ride menne bass teje el driving license,1
loving twitter khsouse gif ktir mo3abirin wlo,1
ytawil bi 3emrik,1
na3iman ya 3abbas,1
2alef mabrouk,1
pray together because alla ykun ma3ak,1
hahahaha la2 bs 7elwe alphabet,1
chou hal cheikh hayda yaret lkel metlo malla kalem ktir kbir,1
yay ana kter mabsouta met7amsi wa akheran ra7 shufik bi wallah la nkayef,1
aamo semmaan kifek,1
mado law sar 3omrik 100 betdalik bet3a2de 2a7la we7de wlik jamelik,1
mawf2a najwatii,1
khedi rahtek elle ma 3ajbo ma yehki,1
shi marra badde a3mellak matte b7alib ya m3allim,1
yess birayy7o nafsiyye episodes,1
toul 3omre ana your mom mnettefe2 smh,1
jmelik jamel de7ektik,1
touma dnd bhbkon kter hihihi,1
hahahah million ya aneni khlas lakan see in heaven allah y2awi imenak,1
hahah 7abbet,1
sabah kher ya helwin,1
hote kil se2atek fena,1
good morning ya a7la hadhood miss you,1
mero bn7bek,1
yisslamli kim kim mhamad pleas bawissleh yeha,1
hebbo ba3ed ma t3anfo ba3ed,1
lah 3ade,1
kel bi hebne habibe,1
ana li baarfik,1
inta khaye,1
ana eza kel yom booaa aa joe aam yehkine fran ais bdalne mabsouta tool hayeteh mabsuta,1
eh min addounn,1
bye3jboune eli bi fakro halon azkiya,1
a2wa partner bel dene ma besta8ne 3annik,1
m7ammad akid b7ess biotl3o helwin ktir li anne b7ebbik be hal look mtl look akhdar be ta3a 5abik,1
hahaa kif ma kente mahdoume,1
merci ya helo,1
eh walla nchalla forever,1
hayete ente,1
wlak ana bhebik aktar,1
mahassen aktar hada sheyfo bhayete byedhak byebtesim aw,1
ykhalili tayab,1
shukran ya 3ami 5ajltone mwaah,1
ktir helo tebtesim bwej hada yredelak basme basme akbar,1
tesba7e 3ala alef kher 7obbi allah ykhallile ye7mile yeke b7ebbik ktir mwah,1
alah ykhalilik yeha fo2 raskon,1
kamen ma ba3refa bas niyel albaa min wayn jibto soura,1
walla b7ebbik,1
she was like guys bheb elfetlkon entbehkon eno fet goal tene nahna eno euh melissa hayda replay,1
zedd e3jebe bl clip aktar bi 3a2ed ktir fakhour fik chghlak clip raw3a raw3a ma ba3rf chou bade ehke,1
bta3rfe eddei bhebbik,1
ys3d rabek ma atyabek sabaho,1
hahahahah 7bb n7na mn7bak,1
ana b7ebbik,1
ya ahla sahla,1
allah yer7ama,1
3a albik,1
dakhilo cheriyik,1
3emleto 3a a5dar ktir 7elo,1
chou b7ebba hl ghenniye,1
da5ela de7ki sho b7eba,1
ana bel 3akes ana ken b7ebo ba3dne b7ebo b7eb temsilo,1
boutoule ra2i3a chakla,1
yi hal bouquet bas 7elo ahahhaah wroud kawn ma btkfike,1
jamela 2albi sa7a hana,1
waynik ya najwaa chta2nelik,1
mechte2etlk ktir,1
yii shu kebran tantee,1
shu ra2yak taatine hanen ele kamena,1
ok bas bhebik,1
hayete inte,1
7bbo ba3dkon,1
mabrouk ya ro7i mabrouk to2ber albi btestahal 500k aktar,1
shu 7elo adysh lz8ar le kbar b7boke,1
lesh fi ahla mn lebnen,1
saba7 khayr,1
y7ale eyemek,1
lol salme,1
kl 3am enty oum kl dnye bkher alla la yr7mna mnkoum,1
ya albe,1
uf eh hayda hake,1
bhebik ktir ktir ktir,1
hayete tal3a amar,1
chu haydaa ktiir cute,1
hahahahahhahahaah awiye,1
b7ebbik b7ebbik,1
lek ana fini aal hanen hayda,1
yumy btehsbe hsebe pls,1
hahaha eh akiid,1
omg bteshbah setti,1
mabroukk bella,1
m7abtik jem3tna men kel deni,1
da5l jamelik 7akyik,1
chta2telik ya 3omri,1
byetla3lo 7ayatsi star for more than 30 yrs ghayro ndadan 5alas bs la2 ana ma bshufo hek abadan bl 3aks metwade3,1
ya albe,1
habibi enti,1
me3a ha2 el welde,1
wlak tekram 3aynak men zahle benzal 3a verdun,1
hahahahahahaha bokra b3arfik 3laya,1
man seriously faratet dehek,1
yalla kher,1
hi hayete anaa aktaar hekk,1
ya hayete alla y5alilak yeha ya rab ytawel 3omra,1
think hal ma7al 3emil sale,1
raw3a raw3aa zayante walla3te 7afle kella b7ebbik,1
ma darure es2al akid in,1
mhdumi kteer,1
definitely bishuff mal3ab ktir mnih,1
wjoudik 7ayete 5alene etfe2al deyman bl 7ayet 3atane ouwe ta et5ata machekil kl souhoule tesba7e 3ala kher ya 3omre,1
ktir helo,1
habibte inti ah7san minoun kiloun,1
ana b7ebkoon,1
allah ywaf2ik kel khotwe bta3mliya,1
taj rase,1
akid ra7 terba7 bel murex,1
allah ye2wekon yemre2 hal semaster 3a kher,1
ya hayet albe,1
habibi ente,1
yalla nijmeh yalla,1
ta7iye 5assa from lau journalism students,1
100 7amdella 3al saleme,1
dakhl alah jamel,1
y3tik 3afyi sandro kn badi yeha hek,1
ken 3id miled aya bi 3 bent li tol3et la 3andik 3l masra7 bada happy birthday mnik,1
yala jeye christmas mish bas teyeb jibe cell jdid,1
ya reyt teje t7kina lyom mechta2etlik,1
wlek yeslamle ana,1
eh thx 3al ma3loumeh khalas ma lezim ez3al,1
ya rab,1
msh ma32oul enta ya 5aye alla ya3tik 3a add ta3abak,1
iknoww allah ysalmak hayete,1
3a2bel 50 malyon sene ya habibi,1
hahaha skot skot balla may eshouna bs ye2berni kasmo,1
yala nghani yala lel far7a l2ol nshala,1
hahahahahahahha habibte,1
yes3od maseke yarab,1
habibna na3em,1
allahou akbaar,1
happy birthday skez 3omor killo ya rab,1
fekhme ktir,1
ma saffayta hayala kenit exactly 3ala 7affit el trotoir it was the best saffeh could ever soff,1
jamel bi kel me3na el kelme,1
wowoow jamelik rasha habibte,1
ktir helwe hal soura ya nanous,1
ta3a a3teek hugs hebbak,1
hahahhaaha bhebik tez3alish,1
hahahahahaha yaa habbeit,1
ok sha3rik hilo,1
ay 7ad bt7bo atswr ma3ah kteer enta msh damen bokra feeh eh el swar hya el htfdlk,1
min addik ente leh claps,1
fekra mahdoume tbh,1
allah mahabbeh yesou3 bi albeh,1
eh wala ya iyyem fadawi,1
yee ma aghlekonn,1
ma 3ande chak,1
jamalak jamal moush 3ad,1
mubarak,1
mabrook habibi,1
enti 7ala kelo bas 3younik ghayr ossa 7ayet bi kemla,1
mabrok hayati,1
ma byilba2 abyad gheir la amira mitlik ni7na wala shi balaki,1
aywa aywa,1
yes yes ma3karone laban is good bensa7ik fiya,1
shu b7ebbik,1
tal3a la her aunt to2borne,1
ikr ktir mahdoume ana,1
hi jamelik,1
kam anta kabir ya jp,1
ta3a la albe ta3a,1
men keter ma 7beb shakli lyoum mesh 3am eshba3 toswer sert mswar she 100 sowra lol,1
tab marra wahad nem se3a am fe2 eswara heuheu,1
houwe habak kamenn,1
mabrouk,1
fo2 m3addal lhamdella,1
albi mghayar mghara rabi 3emeli ziyara men shamsak nawerni malini harara,1
yeslamle baddo masle7tik akid,1
rah nechta2lak ya ahla 3alam,1
lhamdela 3a salemeton,1
trekne mabsouta sheh,1
ya albe ana,1
wallahh kello tayib,1
ahla shala,1
baheb omre ba3sha2 el hayat not now definitely,1
ya rabe tnajeena,1
hbb ines happy birthday nchalla bhal sene te2dare t7a2i2e kel chi btetmanni,1
nzltn habb,1
ya amira yes3dek allah,1
mabrook zena,1
khalas mtl ma bdik bekun atyab,1
sba7o najwati,1
lhamdella 3a salemita ahla khalto,1
ana bhebikk imy,1
hahahahahahahahahaha khalas bi amrak,1
ma ajmal hal saba7,1
adhak chi wa2ta hada oul le lelloup eno bro kam le hatet,1
ktir bheb eno aana nafs name,1
merci albe,1
alah ya wael,1
ya maleki alf mabrouk 500k,1
rita ktir halwin dress jewlery kil chi zelfa kamena kamena wahdeh nssit issma bas 3ayleta fares,1
yi shou bou mouzi3 mtv mabsout hal2ad,1
ah she is answering meen mekhde meshe tsharafna,1
ade awye hal ghenye,1
chou kyoute,1
yo2boshne rje3et,1
khallina s7ab,1
jamelik lea,1
bhebba yo2borne rabba,1
ya alah chu bhbk wehyet 3youn emme,1
enno ente ktr helwe,1
w2ana metlik min be7termik wo b7ebik kter min hon lal al3a mabytetla3le retweet,1
ehh bas howe ka howe kter 7eloo l2anoo mrtab mano metl hol le abel eshy mesh mafhome,1
3ande nahfete aw2et,1
kebret zghirtnaa,1
edde ryeha lyom,1
kater khayrak,1
hayda fans najwa karam bkaber aleb,1
habbet aviytak,1
ya massi7 allah ysabrik nshala te2ta3 hel azme hala2 7a a3melik website lal tabarou3at osstik ktir assaryit fie 100 warde elik,1
bonjour ya albi,1
yi allah ybarshrik bas leh,1
dakhil li 3emelle missed call ana,1
wel3ani mn hl2,1
wlak enta ahla 3alam,1
albak albak yo2berni 500k yala eja dor lmellion,1
lhawa tayyarni ya habibi,1
eh allah ykhallik,1
7a nseer besties akeed,1
ya hayete,1
abas enjoyy eza shft salmle 3ali,1
ana rajol men dehab mkantar bel elmaz,1
yalla balke mna3mol meeting lal fans 3a sharaf lsett nidal bas tet7assan nchalla shu ra2yik nouna,1
la2 hay a7la,1
enta ktir awe like your outfit and hair btw,1
yslamle li byfhamne,1
marwa ento ma fe menkon aslan,1
ya dellee chou chta2tellik,1
haha hlof akhadna hek soura,1
ktir awieh hl hal2a hicham is the best,1
jana happy birthday nchalla hal sene tkoun 7emletlik iyem 7elwe,1
ma3ak 7a2 100,1
yeslam temmak cheikh mohamad ya reit kel rijeil el dine byet3allamo mennak fachaytelleh khel2eh bravo,1
allh yrhama tkun nafsa bel sama ya rab,1
shu 7elo hal ishya ktir betshed 7arim,1
allah y2awyki,1
ah hek befham eno nshamasna hahahahhahah love you,1
eh eza hekk ma 3ande mene3,1
hahahahaha ahdam 3alam allous,1
your icon omfg hayete ma atyabna jgkanvkaivosjbhebik,1
3ada 3an enna 3asabiye 3ada 3an enna khawta ma be2der eghfa 3ashiye ella ma esma3 sawta,1
natrinak mnatra,1
yeslamle mrawwi2 nchallah deyman,1
hehe ente bala ma t2ouleh befham 3layke,1
tekram wa2t sme3ta lyoum neket albe ad mana mazbouta,1
yen3ad 3lek ya b3ir,1
hahaha bhebik,1
ana b2elik tesba7i 3ala khayr 7ob sa3adi ya kel khayr wl 7ob enti ya far7et aloub,1
bl f3l draset 3 hours lyom,1
yo2borni zaherr ma a7le,1
mabrouk,1
yen3ad 3leik,1
jamelik mary,1
t2bre albe inte,1
aala ayya asas mumkin enni farrit fikii,1
eh meshe hbb,1
merci khaye nefra7 menak,1
mwafa2a nchalah,1
meen ghayra amazing ma 7ada,1
khalas 3refna shu njeblo on his birthday,1
1_ hb enta allah ydem hal m7be 2 thank hayatii ana kamen,1
sabaho,1
hayde awwal sene byemrou2 hayda 3id barakit bet sett kel mech mawjoude allah yer7ama tkoun nafsa bl sama ya rabb,1
merci habibbti allah yohfazek kellek zaw2,1
ana b7bkon,1
ya rabi,1
akidd mneftekher ino 3inna yek 3enna jeish,1
eh meshe,1
hahahahahahah eh mbala,1
betwal3ia wain ma ken alla ye7mikew ya rayt mnshoufik hek be programmes deyman interview hafle,1
ykhallilik emmikk hbb,1
sallem 3aleha ya hawaa,1
jamelik rita,1
wlak min adak,1
ktir bheb nour,1
3njad ktir 7elo w3fawee wmo2aser mabroykk,1
kter lab2en la b3ed,1
bedhak bfez kelne sawa,1
kountou atakarram kawni sabi3a fi lubnan,1
hahahahhahaha yo2borne fossik,1
yesaadler sabahik ahla sabah,1
set banat mashya btetdalla3,1
ktir 7elo hayda nshalla btlbso,1
enty oum misali kul 3am ou enty alf kher,1
rou2 rou2 ma3le awal match ma bada to3sib,1
bhebik more,1
tamnina 3anek,1
ya dakhil allah 3al hadami,1
bannoutetna helwe,1
kalemak jawehir,1
thank uu khaleda hayda men zaw2ik ente kmen,1
khalas walaw ra2ebte,1
yii albe bhebak,1
ik im the luckiestt akid bes bheb tred 3leye twitter benbosett,1
haha hayetti,1
ya sharefa enta,1
ya rab tnajjina,1
man btetekal,1
nshalla dayman,1
martak nshalla,1
are perfect metel ma ente,1
allah ye7mikon,1
amar yobrni,1
hayatim eza r7te be teyeb nom yaleko beke do5ol yaleko beke hayatim,1
a7la 3alam,1
ta3e kol youm ya 7elwe,1
